Year,Units,Income,Sex,Area,Regions,GeoCode,Value
2011,Percent,5.5 US dollars per day (based on PPP),,,Nur-Sultan city,,1.7
2012,Percent,5.5 US dollars per day (based on PPP),,,Nur-Sultan city,,1.3
2013,Percent,5.5 US dollars per day (based on PPP),,,Nur-Sultan city,,0.8
2014,Percent,5.5 US dollars per day (based on PPP),,,Nur-Sultan city,,0.5
2015,Percent,5.5 US dollars per day (based on PPP),,,Nur-Sultan city,,0.6
2016,Percent,5.5 US dollars per day (based on PPP),,,Nur-Sultan city,,0.8
2017,Percent,5.5 US dollars per day (based on PPP),,,Nur-Sultan city,,0.8
2018,Percent,5.5 US dollars per day (based on PPP),,,Nur-Sultan city,,0.8
2011,Percent,5.5 US dollars per day (based on PPP),,,Almaty city,,2.0
2012,Percent,5.5 US dollars per day (based on PPP),,,Almaty city,,1.1
2013,Percent,5.5 US dollars per day (based on PPP),,,Almaty city,,1.1
2014,Percent,5.5 US dollars per day (based on PPP),,,Almaty city,,1.2
2015,Percent,5.5 US dollars per day (based on PPP),,,Almaty city,,1.6
2016,Percent,5.5 US dollars per day (based on PPP),,,Almaty city,,1.7
2017,Percent,5.5 US dollars per day (based on PPP),,,Almaty city,,1.3
2018,Percent,5.5 US dollars per day (based on PPP),,,Almaty city,,2.2
2013,Percent,5.5 US dollars per day (based on PPP),,,Shymkent city,,15.8
2014,Percent,5.5 US dollars per day (based on PPP),,,Shymkent city,,10.4
2015,Percent,5.5 US dollars per day (based on PPP),,,Shymkent city,,10.4
2016,Percent,5.5 US dollars per day (based on PPP),,,Shymkent city,,3.4
2017,Percent,5.5 US dollars per day (based on PPP),,,Shymkent city,,4.7
2018,Percent,5.5 US dollars per day (based on PPP),,,Shymkent city,,3.3
2011,Percent,1.9 US dollars per day (based on PPP),,Urban,Akmola,,0.1
2012,Percent,1.9 US dollars per day (based on PPP),,Urban,Akmola,,0.3
2012,Percent,1.9 US dollars per day (based on PPP),,Urban,Kostanay,,0.1
2011,Percent,1.9 US dollars per day (based on PPP),,Urban,Ontustik Kazakhstan,,0.2
2012,Percent,1.9 US dollars per day (based on PPP),,Urban,Ontustik Kazakhstan,,0.1
2013,Percent,1.9 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,1.0
2014,Percent,1.9 US dollars per day (based on PPP),,Urban,Turkistan,,0.3
2017,Percent,1.9 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,0.0
2011,Percent,1.9 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,0.0
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,Akmola,,0.7
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,Akmola,,1.4
2013,Percent,3.2 US dollars per day (based on PPP),,Urban,Akmola,,1.3
2014,Percent,3.2 US dollars per day (based on PPP),,Urban,Akmola,,0.2
2015,Percent,3.2 US dollars per day (based on PPP),,Urban,Akmola,,1.2
2016,Percent,3.2 US dollars per day (based on PPP),,Urban,Akmola,,0.6
2017,Percent,3.2 US dollars per day (based on PPP),,Urban,Akmola,,0.5
2018,Percent,3.2 US dollars per day (based on PPP),,Urban,Akmola,,0.4
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,Aktobe,,0.2
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,Aktobe,,0.3
2013,Percent,3.2 US dollars per day (based on PPP),,Urban,Aktobe,,0.4
2014,Percent,3.2 US dollars per day (based on PPP),,Urban,Aktobe,,0.4
2015,Percent,3.2 US dollars per day (based on PPP),,Urban,Aktobe,,0.2
2017,Percent,3.2 US dollars per day (based on PPP),,Urban,Aktobe,,0.2
2018,Percent,3.2 US dollars per day (based on PPP),,Urban,Aktobe,,0.1
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,Almaty,,0.7
2013,Percent,3.2 US dollars per day (based on PPP),,Urban,Almaty,,0.1
2015,Percent,3.2 US dollars per day (based on PPP),,Urban,Almaty,,0.5
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,Zhambyl,,1.3
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,Zhambyl,,2.6
2013,Percent,3.2 US dollars per day (based on PPP),,Urban,Zhambyl,,0.2
2014,Percent,3.2 US dollars per day (based on PPP),,Urban,Zhambyl,,0.6
2015,Percent,3.2 US dollars per day (based on PPP),,Urban,Zhambyl,,1.2
2016,Percent,3.2 US dollars per day (based on PPP),,Urban,Zhambyl,,0.8
2017,Percent,3.2 US dollars per day (based on PPP),,Urban,Zhambyl,,0.4
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,Karagandy,,0.3
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,Karagandy,,0.2
2013,Percent,3.2 US dollars per day (based on PPP),,Urban,Karagandy,,0.2
2016,Percent,3.2 US dollars per day (based on PPP),,Urban,Karagandy,,0.1
2017,Percent,3.2 US dollars per day (based on PPP),,Urban,Karagandy,,0.2
2018,Percent,3.2 US dollars per day (based on PPP),,Urban,Karagandy,,0.5
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,Kostanay,,0.4
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,Kostanay,,0.3
2013,Percent,3.2 US dollars per day (based on PPP),,Urban,Kostanay,,1.4
2014,Percent,3.2 US dollars per day (based on PPP),,Urban,Kostanay,,0.4
2015,Percent,3.2 US dollars per day (based on PPP),,Urban,Kostanay,,0.2
2016,Percent,3.2 US dollars per day (based on PPP),,Urban,Kostanay,,0.3
2018,Percent,3.2 US dollars per day (based on PPP),,Urban,Kostanay,,0.7
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,Kyzylorda,,0.2
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,Kyzylorda,,0.3
2013,Percent,3.2 US dollars per day (based on PPP),,Urban,Kyzylorda,,0.7
2014,Percent,3.2 US dollars per day (based on PPP),,Urban,Kyzylorda,,0.4
2015,Percent,3.2 US dollars per day (based on PPP),,Urban,Kyzylorda,,0.3
2016,Percent,3.2 US dollars per day (based on PPP),,Urban,Kyzylorda,,0.4
2017,Percent,3.2 US dollars per day (based on PPP),,Urban,Kyzylorda,,0.2
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,Mangistau,,0.1
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,Ontustik Kazakhstan,,1.1
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,Ontustik Kazakhstan,,1.2
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,Pavlodar,,0.5
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,Pavlodar,,0.4
2014,Percent,3.2 US dollars per day (based on PPP),,Urban,Pavlodar,,0.2
2015,Percent,3.2 US dollars per day (based on PPP),,Urban,Pavlodar,,0.4
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,0.9
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,1.4
2013,Percent,3.2 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,1.9
2014,Percent,3.2 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,0.3
2015,Percent,3.2 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,1.2
2016,Percent,3.2 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,0.7
2017,Percent,3.2 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,1.1
2018,Percent,3.2 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,0.7
2014,Percent,3.2 US dollars per day (based on PPP),,Urban,Turkistan,,0.8
2016,Percent,3.2 US dollars per day (based on PPP),,Urban,Turkistan,,0.4
2018,Percent,3.2 US dollars per day (based on PPP),,Urban,Turkistan,,0.3
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,0.5
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,0.7
2013,Percent,3.2 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,0.1
2014,Percent,3.2 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,0.1
2015,Percent,3.2 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,0.4
2016,Percent,3.2 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,0.1
2017,Percent,3.2 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,0.2
2018,Percent,3.2 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,0.1
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,0.1
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,0.1
2013,Percent,3.2 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,0.0
2015,Percent,3.2 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,0.1
2018,Percent,3.2 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,0.1
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,Almaty city,,0.1
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,Almaty city,,0.1
2016,Percent,3.2 US dollars per day (based on PPP),,Urban,Almaty city,,0.1
2017,Percent,3.2 US dollars per day (based on PPP),,Urban,Almaty city,,0.1
2018,Percent,3.2 US dollars per day (based on PPP),,Urban,Almaty city,,0.1
2013,Percent,3.2 US dollars per day (based on PPP),,Urban,Shymkent city,,0.3
2018,Percent,3.2 US dollars per day (based on PPP),,Urban,Shymkent city,,0.5
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Akmola,,10.6
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Akmola,,16.7
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Akmola,,15.4
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Akmola,,12.4
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Akmola,,15.8
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Akmola,,11.1
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Akmola,,8.0
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Akmola,,6.5
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Aktobe,,8.3
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Aktobe,,15.0
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Aktobe,,8.3
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Aktobe,,9.0
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Aktobe,,12.7
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Aktobe,,8.5
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Aktobe,,9.5
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Aktobe,,7.8
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty,,5.3
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty,,10.1
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty,,5.7
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty,,4.9
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty,,7.2
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty,,4.2
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty,,3.4
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty,,4.3
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Atyrau,,1.4
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Atyrau,,3.9
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Atyrau,,1.6
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Atyrau,,1.9
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Atyrau,,3.7
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Atyrau,,1.5
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Atyrau,,2.0
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Atyrau,,1.3
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Batys Kazakhstan,,11.6
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Batys Kazakhstan,,19.7
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Batys Kazakhstan,,13.0
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Batys Kazakhstan,,8.8
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Batys Kazakhstan,,9.7
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Batys Kazakhstan,,8.3
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Batys Kazakhstan,,8.4
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Batys Kazakhstan,,4.9
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Zhambyl,,20.3
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Zhambyl,,28.7
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Zhambyl,,7.1
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Zhambyl,,12.4
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Zhambyl,,25.8
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Zhambyl,,21.4
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Zhambyl,,14.2
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Zhambyl,,7.1
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Karagandy,,7.4
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Karagandy,,7.7
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Karagandy,,7.1
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Karagandy,,4.4
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Karagandy,,8.6
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Karagandy,,6.6
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Karagandy,,5.7
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Karagandy,,3.5
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Kostanay,,9.8
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Kostanay,,15.1
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Kostanay,,12.8
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Kostanay,,7.1
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Kostanay,,8.5
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Kostanay,,10.2
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Kostanay,,5.9
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Kostanay,,5.2
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Kyzylorda,,7.8
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Kyzylorda,,11.2
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Kyzylorda,,9.5
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Kyzylorda,,10.8
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Kyzylorda,,18.2
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Kyzylorda,,17.4
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Kyzylorda,,12.2
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Kyzylorda,,10.2
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Mangistau,,2.0
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Mangistau,,1.3
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Mangistau,,1.0
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Mangistau,,0.6
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Mangistau,,1.0
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Mangistau,,1.0
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Mangistau,,0.8
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Mangistau,,1.1
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Ontustik Kazakhstan,,20.9
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Ontustik Kazakhstan,,28.2
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Pavlodar,,12.7
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Pavlodar,,11.7
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Pavlodar,,4.7
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Pavlodar,,5.4
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Pavlodar,,9.3
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Pavlodar,,6.8
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Pavlodar,,4.2
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Pavlodar,,5.5
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,13.9
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,15.4
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,14.1
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,10.8
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,10.6
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,8.1
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,8.9
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Soltustik Kazakhstan,,5.7
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Turkistan,,19.9
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Turkistan,,18.2
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Turkistan,,19.8
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Turkistan,,16.2
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Turkistan,,18.4
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Turkistan,,14.2
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,11.5
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,12.2
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,8.1
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,9.6
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,6.1
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,3.5
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,4.3
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Shygys Kazakhstan,,3.4
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,1.7
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,1.3
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,0.8
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,0.5
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,0.6
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,0.8
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,0.8
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Nur-Sultan city,,0.8
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty city,,2.0
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty city,,1.1
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty city,,1.1
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty city,,1.2
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty city,,1.6
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty city,,1.7
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty city,,1.3
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Almaty city,,2.2
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,Shymkent city,,15.8
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,Shymkent city,,10.4
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,Shymkent city,,10.4
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,Shymkent city,,3.4
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,Shymkent city,,4.7
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,Shymkent city,,3.3
2011,Percent,1.9 US dollars per day (based on PPP),,Rural,Akmola,,0.3
2012,Percent,1.9 US dollars per day (based on PPP),,Rural,Akmola,,0.3
2013,Percent,1.9 US dollars per day (based on PPP),,Rural,Akmola,,0.1
2014,Percent,1.9 US dollars per day (based on PPP),,Rural,Akmola,,0.2
2012,Percent,1.9 US dollars per day (based on PPP),,Rural,Almaty,,0.1
2015,Percent,1.9 US dollars per day (based on PPP),,Rural,Almaty,,0.1
2018,Percent,1.9 US dollars per day (based on PPP),,Rural,Almaty,,0.1
2012,Percent,1.9 US dollars per day (based on PPP),,Rural,Zhambyl,,0.2
2011,Percent,1.9 US dollars per day (based on PPP),,Rural,Karagandy,,0.2
2013,Percent,1.9 US dollars per day (based on PPP),,Rural,Karagandy,,0.6
2014,Percent,1.9 US dollars per day (based on PPP),,Rural,Karagandy,,0.1
2015,Percent,1.9 US dollars per day (based on PPP),,Rural,Karagandy,,0.1
2016,Percent,1.9 US dollars per day (based on PPP),,Rural,Karagandy,,0.1
2017,Percent,1.9 US dollars per day (based on PPP),,Rural,Karagandy,,0.1
2018,Percent,1.9 US dollars per day (based on PPP),,Rural,Karagandy,,0.2
2011,Percent,1.9 US dollars per day (based on PPP),,Rural,Kostanay,,0.1
2012,Percent,1.9 US dollars per day (based on PPP),,Rural,Kostanay,,0.2
2016,Percent,1.9 US dollars per day (based on PPP),,Rural,Kostanay,,0.1
2011,Percent,1.9 US dollars per day (based on PPP),,Rural,Ontustik Kazakhstan,,0.5
2011,Percent,1.9 US dollars per day (based on PPP),,Rural,Pavlodar,,0.6
2012,Percent,1.9 US dollars per day (based on PPP),,Rural,Pavlodar,,0.1
2011,Percent,1.9 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,0.3
2012,Percent,1.9 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,0.1
2013,Percent,1.9 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,0.1
2015,Percent,1.9 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,0.3
2016,Percent,1.9 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,0.3
2017,Percent,1.9 US dollars per day (based on PPP),,Rural,Soltustik Kazakhstan,,0.1
2011,Percent,1.9 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,0.4
2012,Percent,1.9 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,0.1
2015,Percent,1.9 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,0.1
2017,Percent,1.9 US dollars per day (based on PPP),,Rural,Shygys Kazakhstan,,0.7
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Akmola,,3.4
2012,Percent,3.2 US dollars per day (based on PPP),,Rural,Akmola,,1.7
2013,Percent,3.2 US dollars per day (based on PPP),,Rural,Akmola,,1.6
2014,Percent,3.2 US dollars per day (based on PPP),,Rural,Akmola,,1.1
2015,Percent,3.2 US dollars per day (based on PPP),,Rural,Akmola,,1.2
2016,Percent,3.2 US dollars per day (based on PPP),,Rural,Akmola,,0.9
2017,Percent,3.2 US dollars per day (based on PPP),,Rural,Akmola,,0.7
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,Akmola,,0.7
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Aktobe,,2.0
2012,Percent,3.2 US dollars per day (based on PPP),,Rural,Aktobe,,1.4
2013,Percent,3.2 US dollars per day (based on PPP),,Rural,Aktobe,,0.6
2014,Percent,3.2 US dollars per day (based on PPP),,Rural,Aktobe,,1.1
2015,Percent,3.2 US dollars per day (based on PPP),,Rural,Aktobe,,1.6
2016,Percent,3.2 US dollars per day (based on PPP),,Rural,Aktobe,,0.3
2017,Percent,3.2 US dollars per day (based on PPP),,Rural,Aktobe,,0.3
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,Aktobe,,0.4
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Almaty,,0.1
2012,Percent,3.2 US dollars per day (based on PPP),,Rural,Almaty,,0.6
2013,Percent,3.2 US dollars per day (based on PPP),,Rural,Almaty,,0.6
2014,Percent,3.2 US dollars per day (based on PPP),,Rural,Almaty,,0.3
2015,Percent,3.2 US dollars per day (based on PPP),,Rural,Almaty,,0.1
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,Almaty,,0.1
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Atyrau,,0.2
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,1.5
2012,Percent,3.2 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,0.8
2013,Percent,3.2 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,0.4
2014,Percent,3.2 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,1.5
2015,Percent,3.2 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,2.5
2016,Percent,3.2 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,1.4
2017,Percent,3.2 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,0.8
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,Batys Kazakhstan,,0.1
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Zhambyl,,0.4
2012,Percent,3.2 US dollars per day (based on PPP),,Rural,Zhambyl,,2.1
2013,Percent,3.2 US dollars per day (based on PPP),,Rural,Zhambyl,,0.5
2014,Percent,3.2 US dollars per day (based on PPP),,Rural,Zhambyl,,0.2
2015,Percent,3.2 US dollars per day (based on PPP),,Rural,Zhambyl,,0.9
2016,Percent,3.2 US dollars per day (based on PPP),,Rural,Zhambyl,,0.8
2017,Percent,3.2 US dollars per day (based on PPP),,Rural,Zhambyl,,1.5
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,Zhambyl,,0.3
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Karagandy,,3.1
2012,Percent,3.2 US dollars per day (based on PPP),,Rural,Karagandy,,2.8
2013,Percent,3.2 US dollars per day (based on PPP),,Rural,Karagandy,,3.5
2014,Percent,3.2 US dollars per day (based on PPP),,Rural,Karagandy,,2.1
2015,Percent,3.2 US dollars per day (based on PPP),,Rural,Karagandy,,3.1
2016,Percent,3.2 US dollars per day (based on PPP),,Rural,Karagandy,,1.6
2017,Percent,3.2 US dollars per day (based on PPP),,Rural,Karagandy,,1.0
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,Karagandy,,0.5
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Kostanay,,2.3
2012,Percent,3.2 US dollars per day (based on PPP),,Rural,Kostanay,,1.4
2013,Percent,3.2 US dollars per day (based on PPP),,Rural,Kostanay,,1.0
2014,Percent,3.2 US dollars per day (based on PPP),,Rural,Kostanay,,1.8
2015,Percent,3.2 US dollars per day (based on PPP),,Rural,Kostanay,,1.5
2016,Percent,3.2 US dollars per day (based on PPP),,Rural,Kostanay,,1.7
2017,Percent,3.2 US dollars per day (based on PPP),,Rural,Kostanay,,1.0
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,Kostanay,,1.3
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,Kyzylorda,,1.0
2012,Percent,3.2 US dollars per day (based on PPP),,Rural,Kyzylorda,,0.5
2014,Percent,3.2 US dollars per day (based on PPP),,Rural,Kyzylorda,,0.1
