Year,Units,Area,Sex,Regions,Value
2014,Percent,urban area,Male,Akmola,41.8
2015,Percent,urban area,Male,Akmola,50.7
2016,Percent,urban area,Male,Akmola,46.9
2017,Percent,urban area,Male,Akmola,43.9
2018,Percent,urban area,Male,Akmola,42.6
2010,Percent,urban area,Male,Aktobe,33.3
2011,Percent,urban area,Male,Aktobe,45.7
2012,Percent,urban area,Male,Aktobe,38.9
2013,Percent,urban area,Male,Aktobe,41.6
2014,Percent,urban area,Male,Aktobe,66.2
2015,Percent,urban area,Male,Aktobe,51.1
2016,Percent,urban area,Male,Aktobe,58.7
2017,Percent,urban area,Male,Aktobe,55.1
2018,Percent,urban area,Male,Aktobe,58.7
2010,Percent,urban area,Male,Almaty,15.1
2011,Percent,urban area,Male,Almaty,25.7
2012,Percent,urban area,Male,Almaty,23.2
2013,Percent,urban area,Male,Almaty,21.5
2014,Percent,urban area,Male,Almaty,31.6
2015,Percent,urban area,Male,Almaty,30.3
2016,Percent,urban area,Male,Almaty,29.3
2017,Percent,urban area,Male,Almaty,34.6
2018,Percent,urban area,Male,Almaty,42.8
2010,Percent,urban area,Male,Atyrau,40.3
2011,Percent,urban area,Male,Atyrau,41.2
2012,Percent,urban area,Male,Atyrau,32.8
2013,Percent,urban area,Male,Atyrau,31.4
2014,Percent,urban area,Male,Atyrau,32.8
2015,Percent,urban area,Male,Atyrau,53.4
2016,Percent,urban area,Male,Atyrau,34.9
2017,Percent,urban area,Male,Atyrau,45.5
2018,Percent,urban area,Male,Atyrau,37.6
2010,Percent,urban area,Male,Batys Kazakhstan,37.5
2011,Percent,urban area,Male,Batys Kazakhstan,38.3
2012,Percent,urban area,Male,Batys Kazakhstan,56.9
2013,Percent,urban area,Male,Batys Kazakhstan,43.0
2014,Percent,urban area,Male,Batys Kazakhstan,40.5
2015,Percent,urban area,Male,Batys Kazakhstan,42.3
2016,Percent,urban area,Male,Batys Kazakhstan,47.5
2017,Percent,urban area,Male,Batys Kazakhstan,44.8
2018,Percent,urban area,Male,Batys Kazakhstan,50.2
2010,Percent,urban area,Male,Zhambyl,44.9
2011,Percent,urban area,Male,Zhambyl,44.2
2012,Percent,urban area,Male,Zhambyl,29.2
2013,Percent,urban area,Male,Zhambyl,51.7
2014,Percent,urban area,Male,Zhambyl,25.2
2015,Percent,urban area,Male,Zhambyl,33.7
2016,Percent,urban area,Male,Zhambyl,45.1
2017,Percent,urban area,Male,Zhambyl,33.7
2018,Percent,urban area,Male,Zhambyl,37.7
2010,Percent,urban area,Male,Karagandy,32.5
2011,Percent,urban area,Male,Karagandy,31.2
2012,Percent,urban area,Male,Karagandy,30.2
2013,Percent,urban area,Male,Karagandy,28.1
2014,Percent,urban area,Male,Karagandy,36.4
2015,Percent,urban area,Male,Karagandy,36.1
2016,Percent,urban area,Male,Karagandy,41.2
2017,Percent,urban area,Male,Karagandy,45.6
2018,Percent,urban area,Male,Karagandy,48.3
2010,Percent,urban area,Male,Kostanay,32.4
2011,Percent,urban area,Male,Kostanay,40.7
2012,Percent,urban area,Male,Kostanay,42.5
2013,Percent,urban area,Male,Kostanay,38.2
2014,Percent,urban area,Male,Kostanay,41.9
2015,Percent,urban area,Male,Kostanay,51.0
2016,Percent,urban area,Male,Kostanay,51.6
2017,Percent,urban area,Male,Kostanay,52.1
2018,Percent,urban area,Male,Kostanay,59.1
2010,Percent,urban area,Male,Kyzylorda,21.9
2011,Percent,urban area,Male,Kyzylorda,22.0
2012,Percent,urban area,Male,Kyzylorda,25.6
2013,Percent,urban area,Male,Kyzylorda,30.7
2014,Percent,urban area,Male,Kyzylorda,44.3
2015,Percent,urban area,Male,Kyzylorda,34.4
2016,Percent,urban area,Male,Kyzylorda,41.1
2017,Percent,urban area,Male,Kyzylorda,47.6
2018,Percent,urban area,Male,Kyzylorda,47.2
2010,Percent,urban area,Male,Mangistau,50.1
2011,Percent,urban area,Male,Mangistau,43.9
2012,Percent,urban area,Male,Mangistau,45.8
2013,Percent,urban area,Male,Mangistau,32.6
2014,Percent,urban area,Male,Mangistau,41.8
2015,Percent,urban area,Male,Mangistau,65.5
2016,Percent,urban area,Male,Mangistau,63.3
2017,Percent,urban area,Male,Mangistau,72.2
2018,Percent,urban area,Male,Mangistau,64.0
2010,Percent,urban area,Male,Ontustik Kazakhstan,20.3
2011,Percent,urban area,Male,Ontustik Kazakhstan,19.6
2012,Percent,urban area,Male,Ontustik Kazakhstan,28.7
2013,Percent,urban area,Male,Ontustik Kazakhstan,24.8
2014,Percent,urban area,Male,Ontustik Kazakhstan,27.1
2015,Percent,urban area,Male,Ontustik Kazakhstan,34.8
2016,Percent,urban area,Male,Ontustik Kazakhstan,20.9
2017,Percent,urban area,Male,Ontustik Kazakhstan,31.1
2010,Percent,urban area,Male,Pavlodar,40.6
2011,Percent,urban area,Male,Pavlodar,45.6
2012,Percent,urban area,Male,Pavlodar,44.3
2013,Percent,urban area,Male,Pavlodar,50.0
2014,Percent,urban area,Male,Pavlodar,49.7
2015,Percent,urban area,Male,Pavlodar,60.3
2016,Percent,urban area,Male,Pavlodar,48.9
2017,Percent,urban area,Male,Pavlodar,56.4
2018,Percent,urban area,Male,Pavlodar,62.9
2010,Percent,urban area,Male,Soltustik Kazakhstan,28.0
2011,Percent,urban area,Male,Soltustik Kazakhstan,43.2
2012,Percent,urban area,Male,Soltustik Kazakhstan,50.8
2013,Percent,urban area,Male,Soltustik Kazakhstan,44.0
2014,Percent,urban area,Male,Soltustik Kazakhstan,45.4
2015,Percent,urban area,Male,Soltustik Kazakhstan,44.1
2016,Percent,urban area,Male,Soltustik Kazakhstan,32.6
2017,Percent,urban area,Male,Soltustik Kazakhstan,47.3
2018,Percent,urban area,Male,Soltustik Kazakhstan,54.3
2018,Percent,urban area,Male,Turkistan,41.9
2010,Percent,urban area,Male,Shygys Kazakhstan,35.7
2011,Percent,urban area,Male,Shygys Kazakhstan,33.4
2012,Percent,urban area,Male,Shygys Kazakhstan,41.3
2013,Percent,urban area,Male,Shygys Kazakhstan,42.0
2014,Percent,urban area,Male,Shygys Kazakhstan,42.5
2015,Percent,urban area,Male,Shygys Kazakhstan,43.6
2016,Percent,urban area,Male,Shygys Kazakhstan,39.0
2017,Percent,urban area,Male,Shygys Kazakhstan,55.6
2018,Percent,urban area,Male,Shygys Kazakhstan,58.4
2010,Percent,urban area,Male,Nur-Sultan city,36.2
2011,Percent,urban area,Male,Nur-Sultan city,23.6
2012,Percent,urban area,Male,Nur-Sultan city,26.9
2013,Percent,urban area,Male,Nur-Sultan city,19.4
2014,Percent,urban area,Male,Nur-Sultan city,32.5
2015,Percent,urban area,Male,Nur-Sultan city,36.2
2016,Percent,urban area,Male,Nur-Sultan city,38.1
2017,Percent,urban area,Male,Nur-Sultan city,37.0
2018,Percent,urban area,Male,Nur-Sultan city,23.9
2010,Percent,urban area,Male,Almaty city,21.1
2011,Percent,urban area,Male,Almaty city,25.0
2012,Percent,urban area,Male,Almaty city,17.5
2013,Percent,urban area,Male,Almaty city,19.4
2014,Percent,urban area,Male,Almaty city,16.2
2015,Percent,urban area,Male,Almaty city,13.3
2016,Percent,urban area,Male,Almaty city,28.5
2017,Percent,urban area,Male,Almaty city,24.9
2018,Percent,urban area,Male,Almaty city,25.6
2018,Percent,urban area,Male,Shymkent city,20.7
2010,Percent,urban area,Female,,25.7
2011,Percent,urban area,Female,,26.1
2012,Percent,urban area,Female,,28.7
2013,Percent,urban area,Female,,27.2
2014,Percent,urban area,Female,,30.5
2015,Percent,urban area,Female,,29.1
2016,Percent,urban area,Female,,32.8
2017,Percent,urban area,Female,,33.8
2018,Percent,urban area,Female,,35.6
2010,Percent,urban area,Female,Akmola,31.6
2011,Percent,urban area,Female,Akmola,35.2
2012,Percent,urban area,Female,Akmola,43.0
2013,Percent,urban area,Female,Akmola,38.9
2014,Percent,urban area,Female,Akmola,39.1
2015,Percent,urban area,Female,Akmola,37.5
2016,Percent,urban area,Female,Akmola,46.5
2017,Percent,urban area,Female,Akmola,45.4
2018,Percent,urban area,Female,Akmola,39.7
2010,Percent,urban area,Female,Aktobe,37.7
2011,Percent,urban area,Female,Aktobe,27.1
2012,Percent,urban area,Female,Aktobe,38.6
2013,Percent,urban area,Female,Aktobe,24.4
2014,Percent,urban area,Female,Aktobe,44.5
2015,Percent,urban area,Female,Aktobe,43.1
2016,Percent,urban area,Female,Aktobe,43.4
2017,Percent,urban area,Female,Aktobe,39.0
2018,Percent,urban area,Female,Aktobe,48.5
2010,Percent,urban area,Female,Almaty,14.9
2011,Percent,urban area,Female,Almaty,20.7
2012,Percent,urban area,Female,Almaty,32.5
2013,Percent,urban area,Female,Almaty,24.6
2014,Percent,urban area,Female,Almaty,28.1
2015,Percent,urban area,Female,Almaty,25.8
2016,Percent,urban area,Female,Almaty,26.0
2017,Percent,urban area,Female,Almaty,35.7
2018,Percent,urban area,Female,Almaty,34.4
2010,Percent,urban area,Female,Atyrau,35.1
2011,Percent,urban area,Female,Atyrau,34.4
2012,Percent,urban area,Female,Atyrau,21.7
2013,Percent,urban area,Female,Atyrau,27.6
2014,Percent,urban area,Female,Atyrau,28.0
2015,Percent,urban area,Female,Atyrau,44.8
2016,Percent,urban area,Female,Atyrau,34.9
2017,Percent,urban area,Female,Atyrau,38.6
2018,Percent,urban area,Female,Atyrau,33.9
2010,Percent,urban area,Female,Batys Kazakhstan,28.5
2011,Percent,urban area,Female,Batys Kazakhstan,31.8
2012,Percent,urban area,Female,Batys Kazakhstan,30.5
2013,Percent,urban area,Female,Batys Kazakhstan,42.5
2014,Percent,urban area,Female,Batys Kazakhstan,30.5
2015,Percent,urban area,Female,Batys Kazakhstan,37.7
2016,Percent,urban area,Female,Batys Kazakhstan,34.9
2017,Percent,urban area,Female,Batys Kazakhstan,33.0
2018,Percent,urban area,Female,Batys Kazakhstan,37.2
2010,Percent,urban area,Female,Zhambyl,22.8
2011,Percent,urban area,Female,Zhambyl,26.3
2012,Percent,urban area,Female,Zhambyl,21.2
2013,Percent,urban area,Female,Zhambyl,32.9
2014,Percent,urban area,Female,Zhambyl,22.3
2015,Percent,urban area,Female,Zhambyl,23.4
2016,Percent,urban area,Female,Zhambyl,35.7
2017,Percent,urban area,Female,Zhambyl,27.3
2018,Percent,urban area,Female,Zhambyl,28.4
2010,Percent,urban area,Female,Karagandy,28.8
2011,Percent,urban area,Female,Karagandy,28.8
2012,Percent,urban area,Female,Karagandy,30.7
2013,Percent,urban area,Female,Karagandy,25.2
2014,Percent,urban area,Female,Karagandy,34.6
2015,Percent,urban area,Female,Karagandy,26.7
2016,Percent,urban area,Female,Karagandy,34.8
2017,Percent,urban area,Female,Karagandy,37.9
2018,Percent,urban area,Female,Karagandy,39.0
2010,Percent,urban area,Female,Kostanay,22.8
2011,Percent,urban area,Female,Kostanay,30.2
2012,Percent,urban area,Female,Kostanay,41.1
2013,Percent,urban area,Female,Kostanay,42.6
2014,Percent,urban area,Female,Kostanay,41.0
2015,Percent,urban area,Female,Kostanay,46.5
2016,Percent,urban area,Female,Kostanay,39.2
2017,Percent,urban area,Female,Kostanay,42.0
2018,Percent,urban area,Female,Kostanay,50.8
2010,Percent,urban area,Female,Kyzylorda,18.3
2011,Percent,urban area,Female,Kyzylorda,26.1
2012,Percent,urban area,Female,Kyzylorda,34.0
2013,Percent,urban area,Female,Kyzylorda,33.2
2014,Percent,urban area,Female,Kyzylorda,43.6
2015,Percent,urban area,Female,Kyzylorda,32.7
2016,Percent,urban area,Female,Kyzylorda,35.5
2017,Percent,urban area,Female,Kyzylorda,39.7
2018,Percent,urban area,Female,Kyzylorda,42.9
2010,Percent,urban area,Female,Mangistau,41.0
2011,Percent,urban area,Female,Mangistau,30.6
2012,Percent,urban area,Female,Mangistau,29.9
2013,Percent,urban area,Female,Mangistau,59.0
2014,Percent,urban area,Female,Mangistau,36.4
2015,Percent,urban area,Female,Mangistau,52.9
2016,Percent,urban area,Female,Mangistau,44.6
2017,Percent,urban area,Female,Mangistau,59.9
2018,Percent,urban area,Female,Mangistau,57.1
2010,Percent,urban area,Female,Ontustik Kazakhstan,16.9
2011,Percent,urban area,Female,Ontustik Kazakhstan,18.6
2012,Percent,urban area,Female,Ontustik Kazakhstan,24.2
2013,Percent,urban area,Female,Ontustik Kazakhstan,23.0
2014,Percent,urban area,Female,Ontustik Kazakhstan,30.8
2015,Percent,urban area,Female,Ontustik Kazakhstan,30.2
2016,Percent,urban area,Female,Ontustik Kazakhstan,31.1
2017,Percent,urban area,Female,Ontustik Kazakhstan,25.0
2010,Percent,urban area,Female,Pavlodar,41.8
2011,Percent,urban area,Female,Pavlodar,41.0
2012,Percent,urban area,Female,Pavlodar,41.2
2013,Percent,urban area,Female,Pavlodar,46.9
2014,Percent,urban area,Female,Pavlodar,41.6
2015,Percent,urban area,Female,Pavlodar,44.4
2016,Percent,urban area,Female,Pavlodar,44.7
2017,Percent,urban area,Female,Pavlodar,43.9
2018,Percent,urban area,Female,Pavlodar,56.7
2010,Percent,urban area,Female,Soltustik Kazakhstan,32.0
2011,Percent,urban area,Female,Soltustik Kazakhstan,36.1
2012,Percent,urban area,Female,Soltustik Kazakhstan,32.4
2013,Percent,urban area,Female,Soltustik Kazakhstan,36.3
2014,Percent,urban area,Female,Soltustik Kazakhstan,37.8
2015,Percent,urban area,Female,Soltustik Kazakhstan,33.0
2016,Percent,urban area,Female,Soltustik Kazakhstan,29.6
2017,Percent,urban area,Female,Soltustik Kazakhstan,43.5
2018,Percent,urban area,Female,Soltustik Kazakhstan,54.2
2018,Percent,urban area,Female,Turkistan,44.2
2010,Percent,urban area,Female,Shygys Kazakhstan,30.3
2011,Percent,urban area,Female,Shygys Kazakhstan,31.2
2012,Percent,urban area,Female,Shygys Kazakhstan,32.0
2013,Percent,urban area,Female,Shygys Kazakhstan,27.9
2014,Percent,urban area,Female,Shygys Kazakhstan,30.9
2015,Percent,urban area,Female,Shygys Kazakhstan,30.7
2016,Percent,urban area,Female,Shygys Kazakhstan,37.5
2017,Percent,urban area,Female,Shygys Kazakhstan,42.4
2018,Percent,urban area,Female,Shygys Kazakhstan,47.7
2010,Percent,urban area,Female,Nur-Sultan city,26.9
2011,Percent,urban area,Female,Nur-Sultan city,23.1
2012,Percent,urban area,Female,Nur-Sultan city,21.2
2013,Percent,urban area,Female,Nur-Sultan city,16.7
2014,Percent,urban area,Female,Nur-Sultan city,34.3
2015,Percent,urban area,Female,Nur-Sultan city,31.9
2016,Percent,urban area,Female,Nur-Sultan city,31.0
2017,Percent,urban area,Female,Nur-Sultan city,28.0
2018,Percent,urban area,Female,Nur-Sultan city,18.5
2010,Percent,urban area,Female,Almaty city,16.2
2011,Percent,urban area,Female,Almaty city,15.4
2012,Percent,urban area,Female,Almaty city,19.8
2013,Percent,urban area,Female,Almaty city,15.7
2014,Percent,urban area,Female,Almaty city,14.9
2015,Percent,urban area,Female,Almaty city,12.2
2016,Percent,urban area,Female,Almaty city,22.2
2017,Percent,urban area,Female,Almaty city,23.6
2018,Percent,urban area,Female,Almaty city,23.9
2018,Percent,urban area,Female,Shymkent city,32.2
2010,Percent,countryside,,,18.9
2011,Percent,countryside,,,20.8
2012,Percent,countryside,,,24.5
2013,Percent,countryside,,,25.3
2014,Percent,countryside,,,32.0
2015,Percent,countryside,,,32.3
2016,Percent,countryside,,,33.3
2017,Percent,countryside,,,35.4
2018,Percent,countryside,,,42.1
2010,Percent,countryside,,Akmola,24.2
2011,Percent,countryside,,Akmola,25.2
2012,Percent,countryside,,Akmola,24.3
2013,Percent,countryside,,Akmola,24.4
2014,Percent,countryside,,Akmola,32.1
2015,Percent,countryside,,Akmola,39.9
2016,Percent,countryside,,Akmola,38.8
2017,Percent,countryside,,Akmola,39.2
2018,Percent,countryside,,Akmola,43.7
2010,Percent,countryside,,Aktobe,26.4
2011,Percent,countryside,,Aktobe,32.3
2012,Percent,countryside,,Aktobe,42.6
2013,Percent,countryside,,Aktobe,44.3
2014,Percent,countryside,,Aktobe,48.8
2015,Percent,countryside,,Aktobe,45.2
2016,Percent,countryside,,Aktobe,48.0
2017,Percent,countryside,,Aktobe,50.8
2018,Percent,countryside,,Aktobe,49.4
2010,Percent,countryside,,Almaty,16.7
2011,Percent,countryside,,Almaty,18.9
2012,Percent,countryside,,Almaty,26.5
2013,Percent,countryside,,Almaty,18.9
2014,Percent,countryside,,Almaty,29.0
2015,Percent,countryside,,Almaty,25.2
2016,Percent,countryside,,Almaty,25.9
2017,Percent,countryside,,Almaty,25.6
2018,Percent,countryside,,Almaty,37.7
2010,Percent,countryside,,Atyrau,30.0
2011,Percent,countryside,,Atyrau,33.9
2012,Percent,countryside,,Atyrau,26.2
2013,Percent,countryside,,Atyrau,26.7
2014,Percent,countryside,,Atyrau,30.1
2015,Percent,countryside,,Atyrau,31.1
2016,Percent,countryside,,Atyrau,29.7
2017,Percent,countryside,,Atyrau,38.2
2018,Percent,countryside,,Atyrau,32.3
2010,Percent,countryside,,Batys Kazakhstan,19.8
2011,Percent,countryside,,Batys Kazakhstan,24.5
2012,Percent,countryside,,Batys Kazakhstan,39.5
2013,Percent,countryside,,Batys Kazakhstan,50.0
2014,Percent,countryside,,Batys Kazakhstan,34.2
2015,Percent,countryside,,Batys Kazakhstan,35.9
2016,Percent,countryside,,Batys Kazakhstan,38.4
2017,Percent,countryside,,Batys Kazakhstan,50.3
2018,Percent,countryside,,Batys Kazakhstan,55.1
2010,Percent,countryside,,Zhambyl,10.3
2011,Percent,countryside,,Zhambyl,15.2
2012,Percent,countryside,,Zhambyl,23.5
2013,Percent,countryside,,Zhambyl,35.4
2014,Percent,countryside,,Zhambyl,23.4
2015,Percent,countryside,,Zhambyl,23.6
2016,Percent,countryside,,Zhambyl,26.8
2017,Percent,countryside,,Zhambyl,21.7
2018,Percent,countryside,,Zhambyl,29.7
2010,Percent,countryside,,Karagandy,20.8
2011,Percent,countryside,,Karagandy,24.3
2012,Percent,countryside,,Karagandy,26.5
2013,Percent,countryside,,Karagandy,25.0
2014,Percent,countryside,,Karagandy,41.5
2015,Percent,countryside,,Karagandy,42.3
2016,Percent,countryside,,Karagandy,41.5
2017,Percent,countryside,,Karagandy,41.6
2018,Percent,countryside,,Karagandy,48.2
2010,Percent,countryside,,Kostanay,26.9
2011,Percent,countryside,,Kostanay,31.8
2012,Percent,countryside,,Kostanay,34.0
2013,Percent,countryside,,Kostanay,35.8
2014,Percent,countryside,,Kostanay,35.9
2015,Percent,countryside,,Kostanay,42.4
2016,Percent,countryside,,Kostanay,41.2
2017,Percent,countryside,,Kostanay,42.1
2018,Percent,countryside,,Kostanay,45.9
2010,Percent,countryside,,Kyzylorda,20.5
2011,Percent,countryside,,Kyzylorda,23.0
2012,Percent,countryside,,Kyzylorda,28.1
2013,Percent,countryside,,Kyzylorda,23.5
2014,Percent,countryside,,Kyzylorda,37.5
2015,Percent,countryside,,Kyzylorda,42.9
2016,Percent,countryside,,Kyzylorda,38.9
2017,Percent,countryside,,Kyzylorda,42.8
2018,Percent,countryside,,Kyzylorda,42.9
2010,Percent,countryside,,Mangistau,37.6
2011,Percent,countryside,,Mangistau,34.3
2012,Percent,countryside,,Mangistau,32.0
2013,Percent,countryside,,Mangistau,39.7
2014,Percent,countryside,,Mangistau,51.6
2015,Percent,countryside,,Mangistau,62.6
2016,Percent,countryside,,Mangistau,64.3
2017,Percent,countryside,,Mangistau,73.1
2018,Percent,countryside,,Mangistau,71.0
2010,Percent,countryside,,Ontustik Kazakhstan,8.8
2011,Percent,countryside,,Ontustik Kazakhstan,9.4
2012,Percent,countryside,,Ontustik Kazakhstan,11.7
2013,Percent,countryside,,Ontustik Kazakhstan,9.9
2014,Percent,countryside,,Ontustik Kazakhstan,26.8
2015,Percent,countryside,,Ontustik Kazakhstan,23.5
2016,Percent,countryside,,Ontustik Kazakhstan,25.7
2017,Percent,countryside,,Ontustik Kazakhstan,29.6
2010,Percent,countryside,,Pavlodar,36.1
2011,Percent,countryside,,Pavlodar,24.8
2012,Percent,countryside,,Pavlodar,30.5
2013,Percent,countryside,,Pavlodar,40.9
2014,Percent,countryside,,Pavlodar,35.3
2015,Percent,countryside,,Pavlodar,40.0
2016,Percent,countryside,,Pavlodar,39.8
2017,Percent,countryside,,Pavlodar,49.0
2018,Percent,countryside,,Pavlodar,55.9
2010,Percent,countryside,,Soltustik Kazakhstan,26.1
2011,Percent,countryside,,Soltustik Kazakhstan,24.7
2012,Percent,countryside,,Soltustik Kazakhstan,23.3
2013,Percent,countryside,,Soltustik Kazakhstan,21.1
2014,Percent,countryside,,Soltustik Kazakhstan,39.7
2015,Percent,countryside,,Soltustik Kazakhstan,36.6
2016,Percent,countryside,,Soltustik Kazakhstan,39.7
2017,Percent,countryside,,Soltustik Kazakhstan,38.8
2018,Percent,countryside,,Soltustik Kazakhstan,46.2
2018,Percent,countryside,,Turkistan,36.4
2010,Percent,countryside,,Shygys Kazakhstan,18.9
2011,Percent,countryside,,Shygys Kazakhstan,22.7
2012,Percent,countryside,,Shygys Kazakhstan,24.8
2013,Percent,countryside,,Shygys Kazakhstan,30.8
2014,Percent,countryside,,Shygys Kazakhstan,37.3
2015,Percent,countryside,,Shygys Kazakhstan,41.8
2016,Percent,countryside,,Shygys Kazakhstan,42.9
2017,Percent,countryside,,Shygys Kazakhstan,41.3
2018,Percent,countryside,,Shygys Kazakhstan,46.7
2010,Percent,countryside,Male,,17.6
2011,Percent,countryside,Male,,20.3
2012,Percent,countryside,Male,,23.5
2013,Percent,countryside,Male,,25.4
2014,Percent,countryside,Male,,32.3
2015,Percent,countryside,Male,,32.6
2016,Percent,countryside,Male,,33.2
2017,Percent,countryside,Male,,35.5
2018,Percent,countryside,Male,,43.1
2010,Percent,countryside,Male,Akmola,22.9
2011,Percent,countryside,Male,Akmola,23.8
2012,Percent,countryside,Male,Akmola,22.4
2013,Percent,countryside,Male,Akmola,25.1
2014,Percent,countryside,Male,Akmola,33.3
2015,Percent,countryside,Male,Akmola,40.7
2016,Percent,countryside,Male,Akmola,39.7
2017,Percent,countryside,Male,Akmola,40.2
2018,Percent,countryside,Male,Akmola,46.1
2010,Percent,countryside,Male,Aktobe,24.4
2011,Percent,countryside,Male,Aktobe,29.8
2012,Percent,countryside,Male,Aktobe,39.1
2013,Percent,countryside,Male,Aktobe,42.1
2014,Percent,countryside,Male,Aktobe,53.3
2015,Percent,countryside,Male,Aktobe,47.3
2016,Percent,countryside,Male,Aktobe,50.4
2017,Percent,countryside,Male,Aktobe,53.5
2018,Percent,countryside,Male,Aktobe,54.8
2010,Percent,countryside,Male,Almaty,17.4
2011,Percent,countryside,Male,Almaty,20.0
2012,Percent,countryside,Male,Almaty,25.6
2013,Percent,countryside,Male,Almaty,19.7
2014,Percent,countryside,Male,Almaty,28.4
2015,Percent,countryside,Male,Almaty,24.8
2016,Percent,countryside,Male,Almaty,24.5
2017,Percent,countryside,Male,Almaty,24.5
2018,Percent,countryside,Male,Almaty,37.2
2010,Percent,countryside,Male,Atyrau,25.9
2011,Percent,countryside,Male,Atyrau,34.3
2012,Percent,countryside,Male,Atyrau,27.0
2013,Percent,countryside,Male,Atyrau,28.0
2014,Percent,countryside,Male,Atyrau,31.6
2015,Percent,countryside,Male,Atyrau,32.7
2016,Percent,countryside,Male,Atyrau,33.6
2017,Percent,countryside,Male,Atyrau,42.1
2018,Percent,countryside,Male,Atyrau,32.8
2010,Percent,countryside,Male,Batys Kazakhstan,14.1
2011,Percent,countryside,Male,Batys Kazakhstan,20.0
2012,Percent,countryside,Male,Batys Kazakhstan,37.0
2013,Percent,countryside,Male,Batys Kazakhstan,52.7
2014,Percent,countryside,Male,Batys Kazakhstan,33.4
2015,Percent,countryside,Male,Batys Kazakhstan,36.7
2016,Percent,countryside,Male,Batys Kazakhstan,39.2
2017,Percent,countryside,Male,Batys Kazakhstan,48.7
2018,Percent,countryside,Male,Batys Kazakhstan,54.8
2010,Percent,countryside,Male,Zhambyl,8.4
2011,Percent,countryside,Male,Zhambyl,14.9
2012,Percent,countryside,Male,Zhambyl,20.8
2013,Percent,countryside,Male,Zhambyl,32.6
2014,Percent,countryside,Male,Zhambyl,21.7
2015,Percent,countryside,Male,Zhambyl,23.0
2016,Percent,countryside,Male,Zhambyl,24.9
2017,Percent,countryside,Male,Zhambyl,21.6
2018,Percent,countryside,Male,Zhambyl,31.5
2010,Percent,countryside,Male,Karagandy,21.0
2011,Percent,countryside,Male,Karagandy,24.3
2012,Percent,countryside,Male,Karagandy,25.6
2013,Percent,countryside,Male,Karagandy,27.6
2014,Percent,countryside,Male,Karagandy,41.7
2015,Percent,countryside,Male,Karagandy,41.4
2016,Percent,countryside,Male,Karagandy,41.6
2017,Percent,countryside,Male,Karagandy,41.0
2018,Percent,countryside,Male,Karagandy,48.4
2010,Percent,countryside,Male,Kostanay,26.4
2011,Percent,countryside,Male,Kostanay,32.4
2012,Percent,countryside,Male,Kostanay,34.5
2013,Percent,countryside,Male,Kostanay,39.8
2014,Percent,countryside,Male,Kostanay,37.1
2015,Percent,countryside,Male,Kostanay,44.6
2016,Percent,countryside,Male,Kostanay,42.3
2017,Percent,countryside,Male,Kostanay,44.3
2018,Percent,countryside,Male,Kostanay,48.0
2010,Percent,countryside,Male,Kyzylorda,15.6
2011,Percent,countryside,Male,Kyzylorda,17.9
2012,Percent,countryside,Male,Kyzylorda,27.7
2013,Percent,countryside,Male,Kyzylorda,22.0
2014,Percent,countryside,Male,Kyzylorda,37.6
2015,Percent,countryside,Male,Kyzylorda,44.1
2016,Percent,countryside,Male,Kyzylorda,39.0
2017,Percent,countryside,Male,Kyzylorda,43.2
2018,Percent,countryside,Male,Kyzylorda,42.1
2010,Percent,countryside,Male,Mangistau,34.7
2011,Percent,countryside,Male,Mangistau,37.0
2012,Percent,countryside,Male,Mangistau,41.0
2013,Percent,countryside,Male,Mangistau,36.3
2014,Percent,countryside,Male,Mangistau,56.5
2015,Percent,countryside,Male,Mangistau,66.1
2016,Percent,countryside,Male,Mangistau,66.2
2017,Percent,countryside,Male,Mangistau,75.6
2018,Percent,countryside,Male,Mangistau,72.4
2010,Percent,countryside,Male,Ontustik Kazakhstan,9.6
2011,Percent,countryside,Male,Ontustik Kazakhstan,9.6
2012,Percent,countryside,Male,Ontustik Kazakhstan,9.2
2013,Percent,countryside,Male,Ontustik Kazakhstan,9.9
2014,Percent,countryside,Male,Ontustik Kazakhstan,27.1
2015,Percent,countryside,Male,Ontustik Kazakhstan,21.6
2016,Percent,countryside,Male,Ontustik Kazakhstan,24.2
2017,Percent,countryside,Male,Ontustik Kazakhstan,27.9
2010,Percent,countryside,Male,Pavlodar,33.1
2011,Percent,countryside,Male,Pavlodar,25.5
2012,Percent,countryside,Male,Pavlodar,31.9
2013,Percent,countryside,Male,Pavlodar,42.5
2014,Percent,countryside,Male,Pavlodar,33.0
2015,Percent,countryside,Male,Pavlodar,40.3
2016,Percent,countryside,Male,Pavlodar,38.9
2017,Percent,countryside,Male,Pavlodar,48.5
2018,Percent,countryside,Male,Pavlodar,58.8
2010,Percent,countryside,Male,Soltustik Kazakhstan,24.3
2011,Percent,countryside,Male,Soltustik Kazakhstan,24.9
2012,Percent,countryside,Male,Soltustik Kazakhstan,29.1
2013,Percent,countryside,Male,Soltustik Kazakhstan,21.0
2014,Percent,countryside,Male,Soltustik Kazakhstan,41.1
2015,Percent,countryside,Male,Soltustik Kazakhstan,37.5
2016,Percent,countryside,Male,Soltustik Kazakhstan,41.4
2017,Percent,countryside,Male,Soltustik Kazakhstan,37.8
2018,Percent,countryside,Male,Soltustik Kazakhstan,46.8
2018,Percent,countryside,Male,Turkistan,39.0
2010,Percent,countryside,Male,Shygys Kazakhstan,15.6
2011,Percent,countryside,Male,Shygys Kazakhstan,20.5
