Year,Units,скорость,Regions,Value
2019,thousands,выше 10 Мбит/сек,Karagandy,174.4
2019,thousands,выше 10 Мбит/сек,Kostanay,87.3
2019,thousands,выше 10 Мбит/сек,Kyzylorda,15.8
2019,thousands,выше 10 Мбит/сек,Mangistau,44.9
2019,thousands,выше 10 Мбит/сек,Pavlodar,104.6
2019,thousands,выше 10 Мбит/сек,Soltustik Kazakhstan,47.9
2019,thousands,выше 10 Мбит/сек,Turkistan,3.0
2019,thousands,выше 10 Мбит/сек,Shygys Kazakhstan,111.3
2019,thousands,выше 10 Мбит/сек,Nur-Sultan city,201.3
2019,thousands,выше 10 Мбит/сек,Almaty city,295.2
2019,thousands,выше 10 Мбит/сек,Shymkent city,47.2
