Year,Units,Жасы,Өңірлер,Аймақ,Білім беру,Отбасылық жағдайы,азаматтығы,GeoCode,Value
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,городское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,городское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,городское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,городское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,городское население,,,,,0.0
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,городское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,городское население,,,,,0.35
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,городское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,городское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,городское население,,,,,0.16
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Түркістан,городское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,городское население,,,,,0.1
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,городское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,городское население,,,,,0.1
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,городское население,,,,,0.05
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,городское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,городское население,,,,,0.05
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,городское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,городское население,,,,,0.04
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,городское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,городское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,городское население,,,,,0.05
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,городское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,городское население,,,,,0.0
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,городское население,,,,,0.1
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,городское население,,,,,0.04
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,городское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,городское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,городское население,,,,,0.06
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,городское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,городское население,,,,,0.03
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,городское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,городское население,,,,,0.03
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,городское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,городское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,городское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,городское население,,,,,0.02
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,городское население,,,,,0.02
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шымкент қаласы,городское население,,,,,0.02
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,сельское население,,,,,0.03
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,сельское население,,,,,0.02
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,сельское население,,,,,0.02
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,сельское население,,,,,0.04
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,сельское население,,,,,0.04
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,сельское население,,,,,0.03
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,сельское население,,,,,0.02
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,сельское население,,,,,0.02
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,сельское население,,,,,0.01
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,сельское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,сельское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,сельское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,сельское население,,,,,0.07
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,сельское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,сельское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,сельское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,сельское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,сельское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,сельское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,сельское население,,,,,0.09
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,сельское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,сельское население,,,,,0.09
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,сельское население,,,,,0.09
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,сельское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,сельское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,сельское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,сельское население,,,,,0.09
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,сельское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,сельское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,сельское население,,,,,0.04
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,сельское население,,,,,0.04
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,сельское население,,,,,0.04
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,сельское население,,,,,0.06
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,сельское население,,,,,0.02
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,сельское население,,,,,0.02
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,сельское население,,,,,0.03
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,сельское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,сельское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,сельское население,,,,,0.09
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,сельское население,,,,,0.0
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,сельское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,сельское население,,,,,0.17
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,сельское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,сельское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,сельское население,,,,,0.08
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,сельское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,сельское население,,,,,0.09
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,сельское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,сельское население,,,,,0.09
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,сельское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,сельское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,сельское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,сельское население,,,,,0.08
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,сельское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,сельское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,сельское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,сельское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,сельское население,,,,,0.0
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,сельское население,,,,,0.11
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,сельское население,,,,,0.04
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,сельское население,,,,,0.03
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,сельское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,сельское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,сельское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,сельское население,,,,,0.09
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,сельское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,сельское население,,,,,0.0
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,сельское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,сельское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,сельское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,сельское население,,,,,0.09
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,сельское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,сельское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,сельское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,сельское население,,,,,0.07
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,сельское население,,,,,0.14
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,сельское население,,,,,0.14
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,сельское население,,,,,0.07
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,сельское население,,,,,0.07
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,сельское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,сельское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,сельское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,сельское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,сельское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,сельское население,,,,,0.06
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,сельское население,,,,,0.05
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,сельское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,сельское население,,,,,0.16
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,сельское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,сельское население,,,,,0.05
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,сельское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,сельское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,сельское население,,,,,0.09
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,сельское население,,,,,0.09
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,сельское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,сельское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,сельское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,сельское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,сельское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,сельское население,,,,,0.01
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,сельское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,сельское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,сельское население,,,,,0.01
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,сельское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,сельское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,сельское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,сельское население,,,,,0.03
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,сельское население,,,,,0.25
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,сельское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,сельское население,,,,,0.13
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,сельское население,,,,,0.13
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,сельское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,сельское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,сельское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,сельское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,сельское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,сельское население,,,,,0.08
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,сельское население,,,,,0.17
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,сельское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,сельское население,,,,,0.09
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,сельское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,сельское население,,,,,0.09
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,сельское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,сельское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,сельское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Түркістан,сельское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,сельское население,,,,,0.05
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,сельское население,,,,,0.05
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,сельское население,,,,,0.05
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,сельское население,,,,,0.05
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,сельское население,,,,,0.11
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,сельское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,сельское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,сельское население,,,,,0.1
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,сельское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,,,,,,,28.26
2011,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,,,,,,,31.28
2012,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,,,,,,,33.82
2013,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,,,,,,,33.62
2014,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,,,,,,,34.42
2015,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,,,,,,,30.95
2016,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,,,,,,,28.1
2017,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,,,,,,,24.9
2018,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,,,,,,,23.9
2010,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақмола,,,,,,33.43
2011,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақмола,,,,,,32.3
2012,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақмола,,,,,,34.51
2013,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақмола,,,,,,31.21
2014,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақмола,,,,,,33.03
2015,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақмола,,,,,,30.37
2016,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақмола,,,,,,26.03
2017,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақмола,,,,,,24.91
2018,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақмола,,,,,,21.52
2010,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақтөбе,,,,,,21.84
2011,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақтөбе,,,,,,26.61
2012,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақтөбе,,,,,,29.62
2013,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақтөбе,,,,,,30.87
2014,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақтөбе,,,,,,31.71
2015,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақтөбе,,,,,,30.16
2016,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақтөбе,,,,,,25.87
2017,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақтөбе,,,,,,21.33
2018,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Ақтөбе,,,,,,17.65
2010,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Алматы,,,,,,30.75
2011,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Алматы,,,,,,35.26
2012,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Алматы,,,,,,36.44
2013,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Алматы,,,,,,37.17
2014,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Алматы,,,,,,39.75
2015,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Алматы,,,,,,36.08
2016,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Алматы,,,,,,35.02
2017,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Алматы,,,,,,29.72
2018,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Алматы,,,,,,28.73
2010,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Атырау,,,,,,42.38
2011,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Атырау,,,,,,49.19
2012,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Атырау,,,,,,54.25
2013,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Атырау,,,,,,51.92
2014,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Атырау,,,,,,45.46
2015,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Атырау,,,,,,39.8
2016,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Атырау,,,,,,35.11
2017,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Атырау,,,,,,30.99
2018,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Атырау,,,,,,28.15
2010,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Батыс Қазақстан,,,,,,26.09
2011,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Батыс Қазақстан,,,,,,29.71
2012,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Батыс Қазақстан,,,,,,34.75
2013,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Батыс Қазақстан,,,,,,31.56
2014,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Батыс Қазақстан,,,,,,32.39
2015,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Батыс Қазақстан,,,,,,25.96
2016,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Батыс Қазақстан,,,,,,26.18
2017,"на 1 000 женщин
 в данной возрастной группе",в возрасте от 15 до - 19 лет,Батыс Қазақстан,,,,,,20.48
