Year,Units,Жынысы,Өңірлер,Аймақ,GeoCode,Value
2015,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,10.02
2016,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,9.73
2017,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,8.58
2018,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,7.89
2010,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,19.82
2011,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,17.79
2012,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,18.05
2013,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,13.67
2014,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,10.58
2015,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,11.01
2016,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,10.47
2017,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,10.38
2018,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,9.84
2010,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,18.03
2011,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,17.12
2012,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,14.98
2013,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,14.2
2014,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,14.24
2015,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,12.87
2016,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,11.1
2017,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,8.32
2018,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,9.31
2010,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,18.08
2011,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,17.89
2012,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,19.04
2013,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,15.43
2014,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,14.82
2015,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,11.4
2016,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,12.33
2017,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,14.54
2018,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,12.28
2010,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,27.45
2011,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,25.37
2012,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,26.8
2013,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,21.6
2014,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,16.99
2015,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,13.88
2016,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,11.48
2017,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,11.87
2018,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,11.6
2010,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,21.27
2011,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,20.46
2012,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,16.96
2013,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,12.75
2014,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,11.02
2015,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,13.81
2016,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,12.15
2017,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,12.7
2018,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,12.87
2010,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,22.05
2011,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,18.12
2012,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,17.85
2013,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,17.28
2014,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,14.44
2015,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,15.05
2016,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,14.73
2017,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,13.05
2010,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,16.76
2011,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,18.31
2012,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,12.58
2013,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,11.52
2014,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,12.31
2015,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,9.68
2016,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,10.24
2017,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,9.34
2018,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,5.36
2010,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,18.04
2011,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,15.63
2012,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,13.11
2013,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,14.01
2014,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,12.45
2015,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,10.58
2016,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,10.47
2017,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,11.49
2018,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,14.06
2018,1000 туылғанға,ұлдар және қыздар,Түркістан,сельское население,,12.08
2010,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,23.51
2011,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,23.17
2012,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,18.59
2013,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,17.48
2014,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,13.42
2015,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,12.84
2016,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,13.44
2017,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,11.37
2018,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,10.97
2010,1000 туылғанға,ұлдар,,,,21.76
2011,1000 туылғанға,ұлдар,,,,20.04
2012,1000 туылғанға,ұлдар,,,,18.2
2013,1000 туылғанға,ұлдар,,,,15.88
2014,1000 туылғанға,ұлдар,,,,13.56
2015,1000 туылғанға,ұлдар,,,,13.35
2016,1000 туылғанға,ұлдар,,,,12.04
2017,1000 туылғанға,ұлдар,,,,11.25
2018,1000 туылғанға,ұлдар,,,,11.64
2010,1000 туылғанға,ұлдар,Ақмола,,,19.91
2011,1000 туылғанға,ұлдар,Ақмола,,,20.89
2012,1000 туылғанға,ұлдар,Ақмола,,,15.0
2013,1000 туылғанға,ұлдар,Ақмола,,,17.36
2014,1000 туылғанға,ұлдар,Ақмола,,,13.58
2015,1000 туылғанға,ұлдар,Ақмола,,,10.41
2016,1000 туылғанға,ұлдар,Ақмола,,,10.23
2017,1000 туылғанға,ұлдар,Ақмола,,,10.53
2018,1000 туылғанға,ұлдар,Ақмола,,,8.15
2010,1000 туылғанға,ұлдар,Ақтөбе,,,22.31
2011,1000 туылғанға,ұлдар,Ақтөбе,,,16.72
2012,1000 туылғанға,ұлдар,Ақтөбе,,,16.81
2013,1000 туылғанға,ұлдар,Ақтөбе,,,15.36
2014,1000 туылғанға,ұлдар,Ақтөбе,,,12.08
2015,1000 туылғанға,ұлдар,Ақтөбе,,,13.76
2016,1000 туылғанға,ұлдар,Ақтөбе,,,12.27
2017,1000 туылғанға,ұлдар,Ақтөбе,,,8.8
2018,1000 туылғанға,ұлдар,Ақтөбе,,,12.42
2010,1000 туылғанға,ұлдар,Алматы,,,17.44
2011,1000 туылғанға,ұлдар,Алматы,,,17.29
2012,1000 туылғанға,ұлдар,Алматы,,,17.49
2013,1000 туылғанға,ұлдар,Алматы,,,14.37
2014,1000 туылғанға,ұлдар,Алматы,,,12.26
2015,1000 туылғанға,ұлдар,Алматы,,,12.56
2016,1000 туылғанға,ұлдар,Алматы,,,10.57
2017,1000 туылғанға,ұлдар,Алматы,,,11.62
2018,1000 туылғанға,ұлдар,Алматы,,,10.58
2010,1000 туылғанға,ұлдар,Атырау,,,20.66
2011,1000 туылғанға,ұлдар,Атырау,,,21.68
2012,1000 туылғанға,ұлдар,Атырау,,,19.82
2013,1000 туылғанға,ұлдар,Атырау,,,12.63
2014,1000 туылғанға,ұлдар,Атырау,,,12.49
2015,1000 туылғанға,ұлдар,Атырау,,,9.22
2016,1000 туылғанға,ұлдар,Атырау,,,10.78
2017,1000 туылғанға,ұлдар,Атырау,,,9.67
2018,1000 туылғанға,ұлдар,Атырау,,,14.74
2010,1000 туылғанға,ұлдар,Батыс Қазақстан,,,17.91
2011,1000 туылғанға,ұлдар,Батыс Қазақстан,,,15.11
2012,1000 туылғанға,ұлдар,Батыс Қазақстан,,,15.23
2013,1000 туылғанға,ұлдар,Батыс Қазақстан,,,11.66
2014,1000 туылғанға,ұлдар,Батыс Қазақстан,,,12.04
2015,1000 туылғанға,ұлдар,Батыс Қазақстан,,,10.76
2016,1000 туылғанға,ұлдар,Батыс Қазақстан,,,11.11
2017,1000 туылғанға,ұлдар,Батыс Қазақстан,,,8.9
2018,1000 туылғанға,ұлдар,Батыс Қазақстан,,,9.52
2010,1000 туылғанға,ұлдар,Жамбыл,,,23.26
2011,1000 туылғанға,ұлдар,Жамбыл,,,20.35
2012,1000 туылғанға,ұлдар,Жамбыл,,,19.62
2013,1000 туылғанға,ұлдар,Жамбыл,,,17.25
2014,1000 туылғанға,ұлдар,Жамбыл,,,14.04
2015,1000 туылғанға,ұлдар,Жамбыл,,,15.28
2016,1000 туылғанға,ұлдар,Жамбыл,,,12.74
2017,1000 туылғанға,ұлдар,Жамбыл,,,12.54
2018,1000 туылғанға,ұлдар,Жамбыл,,,10.66
2010,1000 туылғанға,ұлдар,Қарағанды,,,19.52
2011,1000 туылғанға,ұлдар,Қарағанды,,,16.0
2012,1000 туылғанға,ұлдар,Қарағанды,,,16.17
2013,1000 туылғанға,ұлдар,Қарағанды,,,12.64
2014,1000 туылғанға,ұлдар,Қарағанды,,,12.8
2015,1000 туылғанға,ұлдар,Қарағанды,,,12.87
2016,1000 туылғанға,ұлдар,Қарағанды,,,11.24
2017,1000 туылғанға,ұлдар,Қарағанды,,,11.21
2018,1000 туылғанға,ұлдар,Қарағанды,,,10.93
2010,1000 туылғанға,ұлдар,Қостанай,,,19.6
2011,1000 туылғанға,ұлдар,Қостанай,,,18.69
2012,1000 туылғанға,ұлдар,Қостанай,,,20.03
2013,1000 туылғанға,ұлдар,Қостанай,,,17.03
2014,1000 туылғанға,ұлдар,Қостанай,,,15.01
2015,1000 туылғанға,ұлдар,Қостанай,,,13.95
2016,1000 туылғанға,ұлдар,Қостанай,,,11.74
2017,1000 туылғанға,ұлдар,Қостанай,,,14.22
2018,1000 туылғанға,ұлдар,Қостанай,,,13.96
2010,1000 туылғанға,ұлдар,Қызылорда,,,28.04
2011,1000 туылғанға,ұлдар,Қызылорда,,,26.77
2012,1000 туылғанға,ұлдар,Қызылорда,,,27.42
2013,1000 туылғанға,ұлдар,Қызылорда,,,20.74
2014,1000 туылғанға,ұлдар,Қызылорда,,,18.38
2015,1000 туылғанға,ұлдар,Қызылорда,,,16.75
2016,1000 туылғанға,ұлдар,Қызылорда,,,14.8
2017,1000 туылғанға,ұлдар,Қызылорда,,,12.93
2018,1000 туылғанға,ұлдар,Қызылорда,,,14.51
2010,1000 туылғанға,ұлдар,Маңғыстау,,,21.6
2011,1000 туылғанға,ұлдар,Маңғыстау,,,21.58
2012,1000 туылғанға,ұлдар,Маңғыстау,,,16.98
2013,1000 туылғанға,ұлдар,Маңғыстау,,,12.98
2014,1000 туылғанға,ұлдар,Маңғыстау,,,13.49
2015,1000 туылғанға,ұлдар,Маңғыстау,,,14.59
2016,1000 туылғанға,ұлдар,Маңғыстау,,,12.42
2017,1000 туылғанға,ұлдар,Маңғыстау,,,11.33
2010,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,26.15
2011,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,22.53
2012,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,20.19
2013,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,19.46
2014,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,16.68
2015,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,16.3
2016,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,15.19
2017,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,13.54
2018,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,13.38
2010,1000 туылғанға,ұлдар,Павлодар,,,16.75
2011,1000 туылғанға,ұлдар,Павлодар,,,16.26
2012,1000 туылғанға,ұлдар,Павлодар,,,12.09
2013,1000 туылғанға,ұлдар,Павлодар,,,11.98
2014,1000 туылғанға,ұлдар,Павлодар,,,10.15
2015,1000 туылғанға,ұлдар,Павлодар,,,10.3
2016,1000 туылғанға,ұлдар,Павлодар,,,10.07
2017,1000 туылғанға,ұлдар,Павлодар,,,11.68
2018,1000 туылғанға,ұлдар,Павлодар,,,8.11
2010,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,17.48
2011,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,18.25
2012,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,14.57
2013,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,13.9
2014,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,11.85
2015,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,10.36
2016,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,10.63
2017,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,11.26
2018,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,16.18
2018,1000 туылғанға,ұлдар,Түркістан,,,13.98
2010,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,24.66
2011,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,24.62
2012,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,19.99
2013,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,18.27
2014,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,13.9
2015,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,13.32
2016,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,12.82
2017,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,10.15
2018,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,9.77
2010,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,14.49
2011,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,13.11
2012,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,14.33
2013,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,12.56
2014,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,9.54
2015,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,10.07
2016,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,8.25
2017,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,7.68
2018,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,9.07
2010,1000 туылғанға,ұлдар,Алматы қаласы,,,21.74
2011,1000 туылғанға,ұлдар,Алматы қаласы,,,21.45
2012,1000 туылғанға,ұлдар,Алматы қаласы,,,15.08
2013,1000 туылғанға,ұлдар,Алматы қаласы,,,14.16
2014,1000 туылғанға,ұлдар,Алматы қаласы,,,10.65
2015,1000 туылғанға,ұлдар,Алматы қаласы,,,11.29
2016,1000 туылғанға,ұлдар,Алматы қаласы,,,10.03
2017,1000 туылғанға,ұлдар,Алматы қаласы,,,9.04
2018,1000 туылғанға,ұлдар,Алматы қаласы,,,11.14
2018,1000 туылғанға,ұлдар,Шымкент қаласы,,,12.2
2010,1000 туылғанға,ұлдар,,городское население,,21.36
2011,1000 туылғанға,ұлдар,,городское население,,20.2
2012,1000 туылғанға,ұлдар,,городское население,,17.37
2013,1000 туылғанға,ұлдар,,городское население,,14.99
2014,1000 туылғанға,ұлдар,,городское население,,12.99
2015,1000 туылғанға,ұлдар,,городское население,,13.01
2016,1000 туылғанға,ұлдар,,городское население,,11.53
2017,1000 туылғанға,ұлдар,,городское население,,9.94
2018,1000 туылғанға,ұлдар,,городское население,,11.08
2010,1000 туылғанға,ұлдар,Ақмола,городское население,,19.65
2011,1000 туылғанға,ұлдар,Ақмола,городское население,,23.29
2012,1000 туылғанға,ұлдар,Ақмола,городское население,,17.75
2013,1000 туылғанға,ұлдар,Ақмола,городское население,,16.97
2014,1000 туылғанға,ұлдар,Ақмола,городское население,,12.68
2015,1000 туылғанға,ұлдар,Ақмола,городское население,,11.16
2016,1000 туылғанға,ұлдар,Ақмола,городское население,,10.37
2017,1000 туылғанға,ұлдар,Ақмола,городское население,,7.32
2018,1000 туылғанға,ұлдар,Ақмола,городское население,,7.73
2010,1000 туылғанға,ұлдар,Ақтөбе,городское население,,22.32
2011,1000 туылғанға,ұлдар,Ақтөбе,городское население,,15.78
2012,1000 туылғанға,ұлдар,Ақтөбе,городское население,,18.32
2013,1000 туылғанға,ұлдар,Ақтөбе,городское население,,14.28
2014,1000 туылғанға,ұлдар,Ақтөбе,городское население,,12.14
2015,1000 туылғанға,ұлдар,Ақтөбе,городское население,,12.61
2016,1000 туылғанға,ұлдар,Ақтөбе,городское население,,12.2
2017,1000 туылғанға,ұлдар,Ақтөбе,городское население,,7.99
2018,1000 туылғанға,ұлдар,Ақтөбе,городское население,,12.6
2010,1000 туылғанға,ұлдар,Алматы,городское население,,22.09
2011,1000 туылғанға,ұлдар,Алматы,городское население,,18.63
2012,1000 туылғанға,ұлдар,Алматы,городское население,,15.99
2013,1000 туылғанға,ұлдар,Алматы,городское население,,15.42
2014,1000 туылғанға,ұлдар,Алматы,городское население,,9.7
2015,1000 туылғанға,ұлдар,Алматы,городское население,,12.62
2016,1000 туылғанға,ұлдар,Алматы,городское население,,12.66
2017,1000 туылғанға,ұлдар,Алматы,городское население,,11.0
2018,1000 туылғанға,ұлдар,Алматы,городское население,,9.41
2010,1000 туылғанға,ұлдар,Атырау,городское население,,17.41
2011,1000 туылғанға,ұлдар,Атырау,городское население,,21.04
2012,1000 туылғанға,ұлдар,Атырау,городское население,,21.13
2013,1000 туылғанға,ұлдар,Атырау,городское население,,11.61
2014,1000 туылғанға,ұлдар,Атырау,городское население,,11.32
2015,1000 туылғанға,ұлдар,Атырау,городское население,,10.42
2016,1000 туылғанға,ұлдар,Атырау,городское население,,9.82
2017,1000 туылғанға,ұлдар,Атырау,городское население,,8.84
2018,1000 туылғанға,ұлдар,Атырау,городское население,,11.05
2010,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,12.04
2011,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,12.2
2012,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,11.84
2013,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,10.79
2014,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,11.01
2015,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,10.59
2016,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,11.02
2017,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,7.88
2018,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,9.76
2010,1000 туылғанға,ұлдар,Жамбыл,городское население,,22.86
2011,1000 туылғанға,ұлдар,Жамбыл,городское население,,22.97
2012,1000 туылғанға,ұлдар,Жамбыл,городское население,,16.51
2013,1000 туылғанға,ұлдар,Жамбыл,городское население,,20.8
2014,1000 туылғанға,ұлдар,Жамбыл,городское население,,18.3
2015,1000 туылғанға,ұлдар,Жамбыл,городское население,,20.26
2016,1000 туылғанға,ұлдар,Жамбыл,городское население,,16.45
2017,1000 туылғанға,ұлдар,Жамбыл,городское население,,14.06
2018,1000 туылғанға,ұлдар,Жамбыл,городское население,,10.99
2010,1000 туылғанға,ұлдар,Қарағанды,городское население,,20.52
2011,1000 туылғанға,ұлдар,Қарағанды,городское население,,15.33
2012,1000 туылғанға,ұлдар,Қарағанды,городское население,,16.37
2013,1000 туылғанға,ұлдар,Қарағанды,городское население,,11.02
2014,1000 туылғанға,ұлдар,Қарағанды,городское население,,11.68
2015,1000 туылғанға,ұлдар,Қарағанды,городское население,,12.61
2016,1000 туылғанға,ұлдар,Қарағанды,городское население,,11.08
2017,1000 туылғанға,ұлдар,Қарағанды,городское население,,11.91
2018,1000 туылғанға,ұлдар,Қарағанды,городское население,,10.93
2010,1000 туылғанға,ұлдар,Қостанай,городское население,,15.9
2011,1000 туылғанға,ұлдар,Қостанай,городское население,,16.83
2012,1000 туылғанға,ұлдар,Қостанай,городское население,,18.16
2013,1000 туылғанға,ұлдар,Қостанай,городское население,,17.43
2014,1000 туылғанға,ұлдар,Қостанай,городское население,,13.45
2015,1000 туылғанға,ұлдар,Қостанай,городское население,,15.76
2016,1000 туылғанға,ұлдар,Қостанай,городское население,,10.54
2017,1000 туылғанға,ұлдар,Қостанай,городское население,,11.2
2018,1000 туылғанға,ұлдар,Қостанай,городское население,,13.96
2010,1000 туылғанға,ұлдар,Қызылорда,городское население,,28.48
2011,1000 туылғанға,ұлдар,Қызылорда,городское население,,22.65
2012,1000 туылғанға,ұлдар,Қызылорда,городское население,,24.73
2013,1000 туылғанға,ұлдар,Қызылорда,городское население,,16.17
2014,1000 туылғанға,ұлдар,Қызылорда,городское население,,18.45
2015,1000 туылғанға,ұлдар,Қызылорда,городское население,,19.36
2016,1000 туылғанға,ұлдар,Қызылорда,городское население,,18.1
2017,1000 туылғанға,ұлдар,Қызылорда,городское население,,11.61
2018,1000 туылғанға,ұлдар,Қызылорда,городское население,,16.02
2010,1000 туылғанға,ұлдар,Маңғыстау,городское население,,21.84
2011,1000 туылғанға,ұлдар,Маңғыстау,городское население,,22.35
2012,1000 туылғанға,ұлдар,Маңғыстау,городское население,,14.81
2013,1000 туылғанға,ұлдар,Маңғыстау,городское население,,11.46
2014,1000 туылғанға,ұлдар,Маңғыстау,городское население,,14.02
2015,1000 туылғанға,ұлдар,Маңғыстау,городское население,,10.87
2016,1000 туылғанға,ұлдар,Маңғыстау,городское население,,12.94
2017,1000 туылғанға,ұлдар,Маңғыстау,городское население,,7.88
2018,1000 туылғанға,ұлдар,Маңғыстау,городское население,,10.76
2010,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,городское население,,28.55
2011,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,городское население,,27.75
2012,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,городское население,,21.88
2013,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,городское население,,19.83
2014,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,городское население,,17.77
2015,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,городское население,,15.75
2016,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,городское население,,13.03
2017,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,городское население,,11.41
2010,1000 туылғанға,ұлдар,Павлодар,городское население,,15.25
2011,1000 туылғанға,ұлдар,Павлодар,городское население,,16.53
2012,1000 туылғанға,ұлдар,Павлодар,городское население,,11.7
2013,1000 туылғанға,ұлдар,Павлодар,городское население,,10.34
2014,1000 туылғанға,ұлдар,Павлодар,городское население,,8.03
2015,1000 туылғанға,ұлдар,Павлодар,городское население,,9.39
2016,1000 туылғанға,ұлдар,Павлодар,городское население,,9.09
2017,1000 туылғанға,ұлдар,Павлодар,городское население,,11.83
2018,1000 туылғанға,ұлдар,Павлодар,городское население,,8.75
2010,1000 туылғанға,ұлдар,Солтүстік Қазақстан,городское население,,15.32
2011,1000 туылғанға,ұлдар,Солтүстік Қазақстан,городское население,,18.55
2012,1000 туылғанға,ұлдар,Солтүстік Қазақстан,городское население,,12.65
2013,1000 туылғанға,ұлдар,Солтүстік Қазақстан,городское население,,15.49
2014,1000 туылғанға,ұлдар,Солтүстік Қазақстан,городское население,,8.82
2015,1000 туылғанға,ұлдар,Солтүстік Қазақстан,городское население,,10.41
2016,1000 туылғанға,ұлдар,Солтүстік Қазақстан,городское население,,7.19
2017,1000 туылғанға,ұлдар,Солтүстік Қазақстан,городское население,,9.54
2018,1000 туылғанға,ұлдар,Солтүстік Қазақстан,городское население,,14.69
2018,1000 туылғанға,ұлдар,Түркістан,городское население,,13.05
2010,1000 туылғанға,ұлдар,Шығыс Қазақстан,городское население,,22.69
2011,1000 туылғанға,ұлдар,Шығыс Қазақстан,городское население,,22.99
2012,1000 туылғанға,ұлдар,Шығыс Қазақстан,городское население,,19.47
2013,1000 туылғанға,ұлдар,Шығыс Қазақстан,городское население,,16.99
2014,1000 туылғанға,ұлдар,Шығыс Қазақстан,городское население,,14.22
2015,1000 туылғанға,ұлдар,Шығыс Қазақстан,городское население,,12.36
2016,1000 туылғанға,ұлдар,Шығыс Қазақстан,городское население,,12.08
2017,1000 туылғанға,ұлдар,Шығыс Қазақстан,городское население,,9.32
2018,1000 туылғанға,ұлдар,Шығыс Қазақстан,городское население,,9.41
2010,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,городское население,,14.49
2011,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,городское население,,13.11
2012,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,городское население,,14.33
2013,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,городское население,,12.56
2014,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,городское население,,9.54
2015,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,городское население,,10.07
2016,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,городское население,,8.25
2017,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,городское население,,7.68
2018,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,городское население,,9.07
2010,1000 туылғанға,ұлдар,Алматы қаласы,городское население,,21.74
2011,1000 туылғанға,ұлдар,Алматы қаласы,городское население,,21.45
2012,1000 туылғанға,ұлдар,Алматы қаласы,городское население,,15.08
2013,1000 туылғанға,ұлдар,Алматы қаласы,городское население,,14.16
2014,1000 туылғанға,ұлдар,Алматы қаласы,городское население,,10.65
2015,1000 туылғанға,ұлдар,Алматы қаласы,городское население,,11.29
2016,1000 туылғанға,ұлдар,Алматы қаласы,городское население,,10.03
2017,1000 туылғанға,ұлдар,Алматы қаласы,городское население,,9.04
2018,1000 туылғанға,ұлдар,Алматы қаласы,городское население,,11.14
2018,1000 туылғанға,ұлдар,Шымкент қаласы,городское население,,12.2
