Year,Units,Жынысы,Өңірлер,Аймақ,Білім беру,Отбасылық жағдайы,азаматтығы,GeoCode,Value
2017,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,5.22
2018,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,4.27
2010,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,,,,7.55
2011,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,,,,7.08
2012,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,,,,7.16
2013,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,,,,5.21
2014,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,,,,5.32
2015,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,,,,4.65
2016,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,,,,4.31
2017,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,,,,4.86
2018,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,,,,4.19
2010,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,,,,13.58
2011,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,,,,12.19
2012,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,,,,10.79
2013,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,,,,5.12
2014,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,,,,4.25
2015,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,,,,4.59
2016,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,,,,5.08
2017,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,,,,4.51
2018,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,,,,6.68
2010,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,,,,10.25
2011,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,,,,10.08
2012,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,,,,8.44
2013,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,,,,5.24
2014,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,,,,4.38
2015,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,,,,3.47
2016,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,,,,5.04
2017,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,,,,4.2
2018,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,,,,4.22
2010,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,,,,10.42
2011,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,,,,7.93
2012,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,,,,8.55
2013,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,,,,6.38
2014,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,,,,3.75
2015,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,,,,3.81
2016,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,,,,2.91
2017,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,,,,2.95
2018,1000 туылғанға,ұлдар және қыздар,Жамбыл,сельское население,,,,,2.81
2010,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,,,,8.25
2011,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,,,,6.92
2012,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,,,,5.5
2013,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,,,,6.51
2014,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,,,,7.02
2015,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,,,,4.05
2016,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,,,,4.27
2017,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,,,,3.94
2018,1000 туылғанға,ұлдар және қыздар,Қарағанды,сельское население,,,,,3.55
2010,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,,,,9.92
2011,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,,,,6.63
2012,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,,,,8.5
2013,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,,,,6.41
2014,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,,,,7.23
2015,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,,,,5.5
2016,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,,,,5.5
2017,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,,,,7.67
2018,1000 туылғанға,ұлдар және қыздар,Қостанай,сельское население,,,,,6.04
2010,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,,,,14.68
2011,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,,,,11.67
2012,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,,,,13.54
2013,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,,,,8.27
2014,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,,,,5.94
2015,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,,,,4.49
2016,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,,,,3.89
2017,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,,,,3.92
2018,1000 туылғанға,ұлдар және қыздар,Қызылорда,сельское население,,,,,3.53
2010,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,,,,12.57
2011,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,,,,11.22
2012,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,,,,10.11
2013,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,,,,6.58
2014,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,,,,4.14
2015,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,,,,4.71
2016,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,,,,5.53
2017,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,,,,6.16
2018,1000 туылғанға,ұлдар және қыздар,Маңғыстау,сельское население,,,,,5.4
2010,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,,,,10.92
2011,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,,,,7.0
2012,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,,,,8.59
2013,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,,,,7.34
2014,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,,,,5.16
2015,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,,,,6.19
2016,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,,,,6.47
2017,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,сельское население,,,,,5.09
2010,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,,,,8.38
2011,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,,,,10.33
2012,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,,,,6.17
2013,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,,,,5.04
2014,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,,,,5.17
2015,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,,,,3.94
2016,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,,,,4.73
2017,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,,,,3.29
2018,1000 туылғанға,ұлдар және қыздар,Павлодар,сельское население,,,,,1.97
2010,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,,,,9.02
2011,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,,,,7.61
2012,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,,,,6.66
2013,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,,,,4.88
2014,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,,,,5.53
2015,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,,,,3.06
2016,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,,,,6.38
2017,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,,,,5.74
2018,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,сельское население,,,,,5.24
2018,1000 туылғанға,ұлдар және қыздар,Түркістан,сельское население,,,,,4.16
2010,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,,,,15.83
2011,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,,,,13.63
2012,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,,,,11.25
2013,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,,,,9.48
2014,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,,,,6.05
2015,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,,,,4.48
2016,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,,,,5.45
2017,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,,,,5.37
2018,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,сельское население,,,,,3.66
2010,1000 туылғанға,ұлдар,,,,,,,13.05
2011,1000 туылғанға,ұлдар,,,,,,,11.12
2012,1000 туылғанға,ұлдар,,,,,,,10.1
2013,1000 туылғанға,ұлдар,,,,,,,8.08
2014,1000 туылғанға,ұлдар,,,,,,,6.54
2015,1000 туылғанға,ұлдар,,,,,,,6.41
2016,1000 туылғанға,ұлдар,,,,,,,5.87
2017,1000 туылғанға,ұлдар,,,,,,,5.15
2018,1000 туылғанға,ұлдар,,,,,,,5.32
2010,1000 туылғанға,ұлдар,Ақмола,,,,,,11.89
2011,1000 туылғанға,ұлдар,Ақмола,,,,,,10.75
2012,1000 туылғанға,ұлдар,Ақмола,,,,,,6.47
2013,1000 туылғанға,ұлдар,Ақмола,,,,,,9.81
2014,1000 туылғанға,ұлдар,Ақмола,,,,,,7.02
2015,1000 туылғанға,ұлдар,Ақмола,,,,,,4.13
2016,1000 туылғанға,ұлдар,Ақмола,,,,,,3.87
2017,1000 туылғанға,ұлдар,Ақмола,,,,,,3.62
2018,1000 туылғанға,ұлдар,Ақмола,,,,,,3.45
2010,1000 туылғанға,ұлдар,Ақтөбе,,,,,,14.57
2011,1000 туылғанға,ұлдар,Ақтөбе,,,,,,9.18
2012,1000 туылғанға,ұлдар,Ақтөбе,,,,,,9.09
2013,1000 туылғанға,ұлдар,Ақтөбе,,,,,,8.56
2014,1000 туылғанға,ұлдар,Ақтөбе,,,,,,6.33
2015,1000 туылғанға,ұлдар,Ақтөбе,,,,,,6.93
2016,1000 туылғанға,ұлдар,Ақтөбе,,,,,,6.38
2017,1000 туылғанға,ұлдар,Ақтөбе,,,,,,3.95
2018,1000 туылғанға,ұлдар,Ақтөбе,,,,,,5.66
2010,1000 туылғанға,ұлдар,Алматы,,,,,,9.53
2011,1000 туылғанға,ұлдар,Алматы,,,,,,9.28
2012,1000 туылғанға,ұлдар,Алматы,,,,,,9.14
2013,1000 туылғанға,ұлдар,Алматы,,,,,,6.97
2014,1000 туылғанға,ұлдар,Алматы,,,,,,5.49
2015,1000 туылғанға,ұлдар,Алматы,,,,,,6.32
2016,1000 туылғанға,ұлдар,Алматы,,,,,,5.1
2017,1000 туылғанға,ұлдар,Алматы,,,,,,5.29
2018,1000 туылғанға,ұлдар,Алматы,,,,,,4.8
2010,1000 туылғанға,ұлдар,Атырау,,,,,,13.34
2011,1000 туылғанға,ұлдар,Атырау,,,,,,13.31
2012,1000 туылғанға,ұлдар,Атырау,,,,,,11.54
2013,1000 туылғанға,ұлдар,Атырау,,,,,,5.83
2014,1000 туылғанға,ұлдар,Атырау,,,,,,4.71
2015,1000 туылғанға,ұлдар,Атырау,,,,,,5.44
2016,1000 туылғанға,ұлдар,Атырау,,,,,,4.75
2017,1000 туылғанға,ұлдар,Атырау,,,,,,4.36
2018,1000 туылғанға,ұлдар,Атырау,,,,,,8.05
2010,1000 туылғанға,ұлдар,Батыс Қазақстан,,,,,,10.42
2011,1000 туылғанға,ұлдар,Батыс Қазақстан,,,,,,9.75
2012,1000 туылғанға,ұлдар,Батыс Қазақстан,,,,,,9.17
2013,1000 туылғанға,ұлдар,Батыс Қазақстан,,,,,,5.98
2014,1000 туылғанға,ұлдар,Батыс Қазақстан,,,,,,6.1
2015,1000 туылғанға,ұлдар,Батыс Қазақстан,,,,,,5.08
2016,1000 туылғанға,ұлдар,Батыс Қазақстан,,,,,,6.78
2017,1000 туылғанға,ұлдар,Батыс Қазақстан,,,,,,5.43
2018,1000 туылғанға,ұлдар,Батыс Қазақстан,,,,,,5.06
2010,1000 туылғанға,ұлдар,Жамбыл,,,,,,13.19
2011,1000 туылғанға,ұлдар,Жамбыл,,,,,,10.38
2012,1000 туылғанға,ұлдар,Жамбыл,,,,,,10.08
2013,1000 туылғанға,ұлдар,Жамбыл,,,,,,9.33
2014,1000 туылғанға,ұлдар,Жамбыл,,,,,,6.82
2015,1000 туылғанға,ұлдар,Жамбыл,,,,,,7.02
2016,1000 туылғанға,ұлдар,Жамбыл,,,,,,5.57
2017,1000 туылғанға,ұлдар,Жамбыл,,,,,,4.99
2018,1000 туылғанға,ұлдар,Жамбыл,,,,,,4.15
2010,1000 туылғанға,ұлдар,Қарағанды,,,,,,10.51
2011,1000 туылғанға,ұлдар,Қарағанды,,,,,,7.68
2012,1000 туылғанға,ұлдар,Қарағанды,,,,,,7.53
2013,1000 туылғанға,ұлдар,Қарағанды,,,,,,6.95
2014,1000 туылғанға,ұлдар,Қарағанды,,,,,,6.87
2015,1000 туылғанға,ұлдар,Қарағанды,,,,,,6.35
2016,1000 туылғанға,ұлдар,Қарағанды,,,,,,5.95
2017,1000 туылғанға,ұлдар,Қарағанды,,,,,,5.6
2018,1000 туылғанға,ұлдар,Қарағанды,,,,,,6.01
2010,1000 туылғанға,ұлдар,Қостанай,,,,,,12.27
2011,1000 туылғанға,ұлдар,Қостанай,,,,,,8.81
2012,1000 туылғанға,ұлдар,Қостанай,,,,,,11.9
2013,1000 туылғанға,ұлдар,Қостанай,,,,,,7.62
2014,1000 туылғанға,ұлдар,Қостанай,,,,,,7.51
2015,1000 туылғанға,ұлдар,Қостанай,,,,,,7.88
2016,1000 туылғанға,ұлдар,Қостанай,,,,,,5.32
2017,1000 туылғанға,ұлдар,Қостанай,,,,,,9.16
2018,1000 туылғанға,ұлдар,Қостанай,,,,,,7.23
2010,1000 туылғанға,ұлдар,Қызылорда,,,,,,16.54
2011,1000 туылғанға,ұлдар,Қызылорда,,,,,,13.77
2012,1000 туылғанға,ұлдар,Қызылорда,,,,,,14.04
2013,1000 туылғанға,ұлдар,Қызылорда,,,,,,9.39
2014,1000 туылғанға,ұлдар,Қызылорда,,,,,,7.18
2015,1000 туылғанға,ұлдар,Қызылорда,,,,,,6.56
2016,1000 туылғанға,ұлдар,Қызылорда,,,,,,6.75
2017,1000 туылғанға,ұлдар,Қызылорда,,,,,,4.07
2018,1000 туылғанға,ұлдар,Қызылорда,,,,,,6.15
2010,1000 туылғанға,ұлдар,Маңғыстау,,,,,,13.45
2011,1000 туылғанға,ұлдар,Маңғыстау,,,,,,13.31
2012,1000 туылғанға,ұлдар,Маңғыстау,,,,,,9.47
2013,1000 туылғанға,ұлдар,Маңғыстау,,,,,,7.49
2014,1000 туылғанға,ұлдар,Маңғыстау,,,,,,5.98
2015,1000 туылғанға,ұлдар,Маңғыстау,,,,,,5.9
2016,1000 туылғанға,ұлдар,Маңғыстау,,,,,,6.55
2017,1000 туылғанға,ұлдар,Маңғыстау,,,,,,5.87
2018,1000 туылғанға,ұлдар,Маңғыстау,,,,,,5.89
2010,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,,,,14.39
2011,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,,,,11.73
2012,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,,,,10.64
2013,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,,,,9.04
2014,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,,,,7.44
2015,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,,,,7.38
2016,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,,,,6.93
2017,1000 туылғанға,ұлдар,Оңтүстік Қазақстан,,,,,,5.79
2010,1000 туылғанға,ұлдар,Павлодар,,,,,,10.37
2011,1000 туылғанға,ұлдар,Павлодар,,,,,,9.49
2012,1000 туылғанға,ұлдар,Павлодар,,,,,,8.16
2013,1000 туылғанға,ұлдар,Павлодар,,,,,,5.55
2014,1000 туылғанға,ұлдар,Павлодар,,,,,,4.18
2015,1000 туылғанға,ұлдар,Павлодар,,,,,,4.92
2016,1000 туылғанға,ұлдар,Павлодар,,,,,,4.42
2017,1000 туылғанға,ұлдар,Павлодар,,,,,,5.28
2018,1000 туылғанға,ұлдар,Павлодар,,,,,,3.64
2010,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,,,,9.41
2011,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,,,,8.68
2012,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,,,,8.29
2013,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,,,,6.5
2014,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,,,,6.16
2015,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,,,,3.29
2016,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,,,,6.33
2017,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,,,,5.9
2018,1000 туылғанға,ұлдар,Солтүстік Қазақстан,,,,,,7.28
2018,1000 туылғанға,ұлдар,Түркістан,,,,,,4.84
2010,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,,,,17.69
2011,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,,,,15.74
2012,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,,,,13.94
2013,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,,,,10.62
2014,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,,,,8.42
2015,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,,,,7.0
2016,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,,,,7.2
2017,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,,,,5.34
2018,1000 туылғанға,ұлдар,Шығыс Қазақстан,,,,,,5.9
2010,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,,,,8.69
2011,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,,,,7.54
2012,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,,,,8.12
2013,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,,,,5.71
2014,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,,,,4.37
2015,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,,,,5.11
2016,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,,,,4.06
2017,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,,,,3.46
2018,1000 туылғанға,ұлдар,Нұр-Сұлтан қаласы,,,,,,4.07
2010,1000 туылғанға,ұлдар,Алматы қаласы,,,,,,16.61
2011,1000 туылғанға,ұлдар,Алматы қаласы,,,,,,15.13
2012,1000 туылғанға,ұлдар,Алматы қаласы,,,,,,10.75
2013,1000 туылғанға,ұлдар,Алматы қаласы,,,,,,9.32
2014,1000 туылғанға,ұлдар,Алматы қаласы,,,,,,6.95
2015,1000 туылғанға,ұлдар,Алматы қаласы,,,,,,6.79
2016,1000 туылғанға,ұлдар,Алматы қаласы,,,,,,5.63
2017,1000 туылғанға,ұлдар,Алматы қаласы,,,,,,4.64
2018,1000 туылғанға,ұлдар,Алматы қаласы,,,,,,6.13
2018,1000 туылғанға,ұлдар,Шымкент қаласы,,,,,,5.11
2010,1000 туылғанға,ұлдар,,городское население,,,,,13.93
2011,1000 туылғанға,ұлдар,,городское население,,,,,12.4
2012,1000 туылғанға,ұлдар,,городское население,,,,,10.56
2013,1000 туылғанға,ұлдар,,городское население,,,,,8.49
2014,1000 туылғанға,ұлдар,,городское население,,,,,6.96
2015,1000 туылғанға,ұлдар,,городское население,,,,,6.92
2016,1000 туылғанға,ұлдар,,городское население,,,,,6.05
2017,1000 туылғанға,ұлдар,,городское население,,,,,4.74
2018,1000 туылғанға,ұлдар,,городское население,,,,,5.62
2010,1000 туылғанға,ұлдар,Ақмола,городское население,,,,,12.14
2011,1000 туылғанға,ұлдар,Ақмола,городское население,,,,,11.93
2012,1000 туылғанға,ұлдар,Ақмола,городское население,,,,,8.02
2013,1000 туылғанға,ұлдар,Ақмола,городское население,,,,,10.93
2014,1000 туылғанға,ұлдар,Ақмола,городское население,,,,,7.78
2015,1000 туылғанға,ұлдар,Ақмола,городское население,,,,,4.86
2016,1000 туылғанға,ұлдар,Ақмола,городское население,,,,,4.32
2017,1000 туылғанға,ұлдар,Ақмола,городское население,,,,,2.64
2018,1000 туылғанға,ұлдар,Ақмола,городское население,,,,,4.46
2010,1000 туылғанға,ұлдар,Ақтөбе,городское население,,,,,15.5
2011,1000 туылғанға,ұлдар,Ақтөбе,городское население,,,,,8.65
2012,1000 туылғанға,ұлдар,Ақтөбе,городское население,,,,,10.96
2013,1000 туылғанға,ұлдар,Ақтөбе,городское население,,,,,8.41
2014,1000 туылғанға,ұлдар,Ақтөбе,городское население,,,,,7.25
2015,1000 туылғанға,ұлдар,Ақтөбе,городское население,,,,,6.09
2016,1000 туылғанға,ұлдар,Ақтөбе,городское население,,,,,7.2
2017,1000 туылғанға,ұлдар,Ақтөбе,городское население,,,,,3.4
2018,1000 туылғанға,ұлдар,Ақтөбе,городское население,,,,,6.76
2010,1000 туылғанға,ұлдар,Алматы,городское население,,,,,14.33
2011,1000 туылғанға,ұлдар,Алматы,городское население,,,,,12.31
2012,1000 туылғанға,ұлдар,Алматы,городское население,,,,,9.76
2013,1000 туылғанға,ұлдар,Алматы,городское население,,,,,8.6
2014,1000 туылғанға,ұлдар,Алматы,городское население,,,,,4.16
2015,1000 туылғанға,ұлдар,Алматы,городское население,,,,,6.39
2016,1000 туылғанға,ұлдар,Алматы,городское население,,,,,6.71
2017,1000 туылғанға,ұлдар,Алматы,городское население,,,,,4.58
2018,1000 туылғанға,ұлдар,Алматы,городское население,,,,,4.39
2010,1000 туылғанға,ұлдар,Атырау,городское население,,,,,11.19
2011,1000 туылғанға,ұлдар,Атырау,городское население,,,,,13.85
2012,1000 туылғанға,ұлдар,Атырау,городское население,,,,,13.12
2013,1000 туылғанға,ұлдар,Атырау,городское население,,,,,6.4
2014,1000 туылғанға,ұлдар,Атырау,городское население,,,,,5.42
2015,1000 туылғанға,ұлдар,Атырау,городское население,,,,,5.81
2016,1000 туылғанға,ұлдар,Атырау,городское население,,,,,4.24
2017,1000 туылғанға,ұлдар,Атырау,городское население,,,,,3.72
2018,1000 туылғанға,ұлдар,Атырау,городское население,,,,,6.05
2010,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,,,,8.34
2011,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,,,,8.04
2012,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,,,,7.9
2013,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,,,,6.2
2014,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,,,,6.5
2015,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,,,,5.85
2016,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,,,,6.66
2017,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,,,,4.99
2018,1000 туылғанға,ұлдар,Батыс Қазақстан,городское население,,,,,5.4
2010,1000 туылғанға,ұлдар,Жамбыл,городское население,,,,,13.4
2011,1000 туылғанға,ұлдар,Жамбыл,городское население,,,,,13.57
2012,1000 туылғанға,ұлдар,Жамбыл,городское население,,,,,8.77
2013,1000 туылғанға,ұлдар,Жамбыл,городское население,,,,,14.04
2014,1000 туылғанға,ұлдар,Жамбыл,городское население,,,,,11.29
2015,1000 туылғанға,ұлдар,Жамбыл,городское население,,,,,11.65
2016,1000 туылғанға,ұлдар,Жамбыл,городское население,,,,,8.83
2017,1000 туылғанға,ұлдар,Жамбыл,городское население,,,,,6.67
2018,1000 туылғанға,ұлдар,Жамбыл,городское население,,,,,5.24
2010,1000 туылғанға,ұлдар,Қарағанды,городское население,,,,,11.39
2011,1000 туылғанға,ұлдар,Қарағанды,городское население,,,,,7.71
2012,1000 туылғанға,ұлдар,Қарағанды,городское население,,,,,8.38
2013,1000 туылғанға,ұлдар,Қарағанды,городское население,,,,,6.25
2014,1000 туылғанға,ұлдар,Қарағанды,городское население,,,,,6.09
2015,1000 туылғанға,ұлдар,Қарағанды,городское население,,,,,6.61
2016,1000 туылғанға,ұлдар,Қарағанды,городское население,,,,,6.2
2017,1000 туылғанға,ұлдар,Қарағанды,городское население,,,,,5.85
2018,1000 туылғанға,ұлдар,Қарағанды,городское население,,,,,6.5
2010,1000 туылғанға,ұлдар,Қостанай,городское население,,,,,10.7
2011,1000 туылғанға,ұлдар,Қостанай,городское население,,,,,10.73
2012,1000 туылғанға,ұлдар,Қостанай,городское население,,,,,14.31
2013,1000 туылғанға,ұлдар,Қостанай,городское население,,,,,8.99
2014,1000 туылғанға,ұлдар,Қостанай,городское население,,,,,7.69
2015,1000 туылғанға,ұлдар,Қостанай,городское население,,,,,9.62
2016,1000 туылғанға,ұлдар,Қостанай,городское население,,,,,4.99
2017,1000 туылғанға,ұлдар,Қостанай,городское население,,,,,7.75
2018,1000 туылғанға,ұлдар,Қостанай,городское население,,,,,7.85
2010,1000 туылғанға,ұлдар,Қызылорда,городское население,,,,,17.69
2011,1000 туылғанға,ұлдар,Қызылорда,городское население,,,,,13.0
2012,1000 туылғанға,ұлдар,Қызылорда,городское население,,,,,13.19
2013,1000 туылғанға,ұлдар,Қызылорда,городское население,,,,,8.62
2014,1000 туылғанға,ұлдар,Қызылорда,городское население,,,,,8.82
2015,1000 туылғанға,ұлдар,Қызылорда,городское население,,,,,9.58
2016,1000 туылғанға,ұлдар,Қызылорда,городское население,,,,,9.87
2017,1000 туылғанға,ұлдар,Қызылорда,городское население,,,,,4.09
2018,1000 туылғанға,ұлдар,Қызылорда,городское население,,,,,8.22
2010,1000 туылғанға,ұлдар,Маңғыстау,городское население,,,,,14.82
2011,1000 туылғанға,ұлдар,Маңғыстау,городское население,,,,,14.49
2012,1000 туылғанға,ұлдар,Маңғыстау,городское население,,,,,8.01
2013,1000 туылғанға,ұлдар,Маңғыстау,городское население,,,,,6.61
2014,1000 туылғанға,ұлдар,Маңғыстау,городское население,,,,,7.43
2015,1000 туылғанға,ұлдар,Маңғыстау,городское население,,,,,4.73
2016,1000 туылғанға,ұлдар,Маңғыстау,городское население,,,,,7.59
2017,1000 туылғанға,ұлдар,Маңғыстау,городское население,,,,,4.05
2018,1000 туылғанға,ұлдар,Маңғыстау,городское население,,,,,5.93
